videoId,second,numViews
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,0,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,1,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,2,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,3,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,4,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,5,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,6,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,7,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,8,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,9,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,10,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,11,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,12,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,13,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,14,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,15,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,16,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,17,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,18,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,19,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,20,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,21,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,22,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,23,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,24,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,25,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,26,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,27,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,28,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,29,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,30,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,31,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,32,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,33,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,34,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,35,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,36,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,37,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,38,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,39,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,40,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,41,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,42,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,43,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,44,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,45,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,46,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,47,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,48,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,49,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,50,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,51,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,52,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,53,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,54,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,55,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,56,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,57,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,58,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,59,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,60,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,61,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,62,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,63,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,576,2
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,577,2
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,578,2
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,523,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,580,2
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,581,2
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,582,2
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,583,2
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,584,3
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,524,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,586,2
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,587,2
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,588,2
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,589,2
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,590,2
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,525,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,592,2
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,593,2
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,514,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,595,3
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,596,3
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,526,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,598,3
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,599,3
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,600,2
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,601,2
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,602,2
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,527,2
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,604,2
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,605,2
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,606,2
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,607,3
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,608,3
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,528,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,610,3
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,611,3
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,612,3
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,613,3
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,614,3
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,529,2
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,616,4
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,617,3
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,618,3
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,615,3
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,530,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,512,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,515,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,531,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,532,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,533,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,619,3
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,534,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,535,2
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,516,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,536,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,537,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,538,2
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,539,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,540,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,517,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,541,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,542,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,543,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,544,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,603,3
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,545,2
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,518,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,546,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,547,2
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,548,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,549,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,550,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,519,2
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,551,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,552,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,553,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,554,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,555,2
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,513,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,520,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,556,3
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,557,3
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,558,4
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,559,3
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,560,3
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,475,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,521,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,511,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,561,3
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,562,3
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,563,4
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,564,2
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,565,2
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,522,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,566,2
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,567,2
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,568,2
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,569,2
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,570,2
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,571,2
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,572,2
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,573,2
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,574,2
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,609,3
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,575,2
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,439,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,493,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,579,2
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,432,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,433,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,434,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,435,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,436,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,437,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,438,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,585,2
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,440,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,441,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,442,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,443,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,444,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,445,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,446,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,447,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,448,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,449,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,450,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,451,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,452,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,453,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,454,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,455,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,456,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,457,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,458,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,459,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,460,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,461,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,462,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,463,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,464,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,465,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,466,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,467,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,468,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,469,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,470,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,471,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,472,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,473,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,474,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,591,2
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,476,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,477,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,478,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,479,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,480,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,481,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,482,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,483,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,484,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,485,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,486,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,487,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,488,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,489,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,490,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,491,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,492,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,594,2
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,494,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,495,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,496,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,497,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,498,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,499,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,500,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,501,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,502,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,503,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,504,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,505,1
i4x-Engineering-CS145-video-vid-triggers_demo_part_2,506,1
