videoId,second,numViews
i4x-Engineering-CS145-video-vid-relational_design_overview-slice2,0,1
i4x-Engineering-CS145-video-vid-relational_design_overview-slice2,1,1
i4x-Engineering-CS145-video-vid-relational_design_overview-slice2,2,1
i4x-Engineering-CS145-video-vid-relational_design_overview-slice2,3,1
i4x-Engineering-CS145-video-vid-relational_design_overview-slice2,4,1
i4x-Engineering-CS145-video-vid-relational_design_overview-slice2,5,1
i4x-Engineering-CS145-video-vid-relational_design_overview-slice2,6,1
i4x-Engineering-CS145-video-vid-relational_design_overview-slice2,7,1
i4x-Engineering-CS145-video-vid-relational_design_overview-slice2,8,1
i4x-Engineering-CS145-video-vid-relational_design_overview-slice2,9,1
i4x-Engineering-CS145-video-vid-relational_design_overview-slice2,10,1
i4x-Engineering-CS145-video-vid-relational_design_overview-slice2,11,1
i4x-Engineering-CS145-video-vid-relational_design_overview-slice2,12,1
i4x-Engineering-CS145-video-vid-relational_design_overview-slice2,13,1
i4x-Engineering-CS145-video-vid-relational_design_overview-slice2,14,1
i4x-Engineering-CS145-video-vid-relational_design_overview-slice2,15,1
i4x-Engineering-CS145-video-vid-relational_design_overview-slice2,16,1
i4x-Engineering-CS145-video-vid-relational_design_overview-slice2,17,1
i4x-Engineering-CS145-video-vid-relational_design_overview-slice2,18,1
i4x-Engineering-CS145-video-vid-relational_design_overview-slice2,19,1
i4x-Engineering-CS145-video-vid-relational_design_overview-slice2,20,1
i4x-Engineering-CS145-video-vid-relational_design_overview-slice2,21,1
i4x-Engineering-CS145-video-vid-relational_design_overview-slice2,22,1
i4x-Engineering-CS145-video-vid-relational_design_overview-slice2,23,1
i4x-Engineering-CS145-video-vid-relational_design_overview-slice2,24,1
i4x-Engineering-CS145-video-vid-relational_design_overview-slice2,202,1
i4x-Engineering-CS145-video-vid-relational_design_overview-slice2,203,1
i4x-Engineering-CS145-video-vid-relational_design_overview-slice2,204,1
i4x-Engineering-CS145-video-vid-relational_design_overview-slice2,330,1
i4x-Engineering-CS145-video-vid-relational_design_overview-slice2,331,1
i4x-Engineering-CS145-video-vid-relational_design_overview-slice2,332,1
i4x-Engineering-CS145-video-vid-relational_design_overview-slice2,205,1
i4x-Engineering-CS145-video-vid-relational_design_overview-slice2,206,1
i4x-Engineering-CS145-video-vid-relational_design_overview-slice2,207,1
i4x-Engineering-CS145-video-vid-relational_design_overview-slice2,208,1
i4x-Engineering-CS145-video-vid-relational_design_overview-slice2,209,1
i4x-Engineering-CS145-video-vid-relational_design_overview-slice2,210,1
i4x-Engineering-CS145-video-vid-relational_design_overview-slice2,211,1
i4x-Engineering-CS145-video-vid-relational_design_overview-slice2,212,1
i4x-Engineering-CS145-video-vid-relational_design_overview-slice2,334,1
i4x-Engineering-CS145-video-vid-relational_design_overview-slice2,335,1
i4x-Engineering-CS145-video-vid-relational_design_overview-slice2,336,1
i4x-Engineering-CS145-video-vid-relational_design_overview-slice2,337,1
i4x-Engineering-CS145-video-vid-relational_design_overview-slice2,338,2
i4x-Engineering-CS145-video-vid-relational_design_overview-slice2,333,1
