videoId,second,numViews
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,0,1
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,171,2
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,172,2
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,173,2
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,174,2
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,175,2
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,176,2
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,177,2
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,617,1
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,618,1
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,619,1
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,112,1
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,113,1
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,114,1
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,115,1
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,116,1
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,117,1
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,118,1
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,119,1
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,120,1
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,121,1
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,122,2
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,123,2
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,124,2
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,125,2
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,126,2
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,127,2
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,128,2
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,129,2
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,130,2
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,131,2
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,132,2
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,133,2
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,134,2
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,135,2
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,648,1
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,649,1
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,650,1
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,651,1
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,140,2
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,141,2
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,142,2
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,143,2
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,144,2
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,145,2
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,146,2
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,147,2
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,148,2
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,149,2
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,150,2
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,151,2
i4x-Engineering-CS145-video-vid-multivalued_dependencies-slice3,152,2
