wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-11-03 17:47:45.000000,load_video,None,,,,None,
2014-11-03 17:48:05.000000,play_video,0,,,,0,
2014-11-03 17:48:11.000000,pause_video,6.502027,,,,6.502027,
2014-11-03 17:48:15.000000,play_video,6.502027,,,,6.502027,
2014-11-03 17:48:32.000000,pause_video,23.138124,,,,23.138124,
2014-11-03 17:48:33.000000,play_video,23.138124,,,,23.138124,
2014-11-03 17:49:18.000000,pause_video,68.788555,,,,68.788555,
2014-11-03 17:49:19.000000,play_video,68.788555,,,,68.788555,
2014-11-03 17:49:20.000000,pause_video,70.095873,,,,70.095873,
2014-11-03 17:49:23.000000,play_video,70.095873,,,,70.095873,
2014-11-03 17:49:28.000000,pause_video,74.671814,,,,74.671814,
2014-11-03 17:49:28.000000,play_video,74.671814,,,,74.671814,
2014-11-03 17:49:51.000000,pause_video,97.357099,,,,97.357099,
2014-11-03 17:49:53.000000,play_video,97.357099,,,,97.357099,
2014-11-03 17:51:11.000000,pause_video,176.162625,,,,176.162625,
2014-11-03 17:51:12.000000,play_video,176.162625,,,,176.162625,
2014-11-03 17:51:14.000000,pause_video,178.027832,,,,178.027832,
2014-11-03 17:51:16.000000,play_video,178.027832,,,,178.027832,
2014-11-03 17:51:26.000000,pause_video,188.597911,,,,188.597911,
2014-11-03 17:55:00.000000,play_video,188.597911,,,,188.597911,
2014-11-03 17:57:01.000000,pause_video,309.356895,,,,309.356895,
2014-11-03 17:57:12.000000,seek_video,,,,309.356895,,onSlideSeek
2014-11-03 17:57:12.000000,pause_video,111,,,,111,
2014-11-03 17:57:14.000000,play_video,111,,,,111,
2014-11-03 17:57:19.000000,seek_video,,,,115.273294,,onSlideSeek
2014-11-03 17:57:20.000000,play_video,115.273294,,,,115.273294,
2014-11-03 17:57:22.000000,pause_video,55.62184,,,,55.62184,
2014-11-03 18:08:20.000000,play_video,55.62184,,,,55.62184,
2014-11-03 18:08:24.000000,seek_video,,,,58.580774,,onSlideSeek
2014-11-03 18:08:27.000000,seek_video,,,,58.580774,,onSlideSeek
2014-11-03 18:08:28.000000,seek_video,,,,58.580774,,onSlideSeek
2014-11-03 18:08:30.000000,seek_video,,,,58.580774,,onSlideSeek
2014-11-03 18:09:30.000000,pause_video,58.580774,,,,58.580774,
2014-11-03 18:09:55.000000,play_video,58.580774,,,,58.580774,
2014-11-03 18:10:05.000000,pause_video,461.960437,,,,461.960437,
2014-11-03 18:10:13.000000,play_video,461.960437,,,,461.960437,
2014-11-03 18:11:06.000000,pause_video,514.117845,,,,514.117845,
2014-11-03 18:14:08.000000,play_video,514.117845,,,,514.117845,
2014-11-03 18:15:09.000000,seek_video,,,,575.559455,,onSlideSeek
2014-11-03 18:15:10.000000,seek_video,,,,575.559455,,onSlideSeek
2014-11-03 18:15:12.000000,seek_video,,,,575.559455,,onSlideSeek
2014-11-03 18:15:14.000000,seek_video,,,,575.559455,,onSlideSeek
2014-11-03 18:15:20.000000,pause_video,575.559455,,,,575.559455,
2014-11-03 18:15:21.000000,play_video,575.559455,,,,575.559455,
2014-11-03 18:17:05.000000,pause_video,641.249706,,,,641.249706,
2014-11-03 18:17:07.000000,play_video,641.249706,,,,641.249706,
2014-11-03 18:18:14.000000,seek_video,,,,708.483085,,onSlideSeek
2014-11-03 18:18:15.000000,seek_video,,,,708.483085,,onSlideSeek
2014-11-03 18:18:15.000000,seek_video,,,,708.483085,,onSlideSeek
2014-11-03 18:20:06.000000,pause_video,708.483085,,,,708.483085,
2014-11-03 18:20:15.000000,seek_video,,,,708.483085,,onSlideSeek
2014-11-03 18:20:15.000000,pause_video,63,,,,63,
2014-11-03 18:23:50.000000,seek_video,,,,63,,onSlideSeek
2014-11-03 18:23:52.000000,play_video,578,,,,578,
2014-11-03 18:23:54.000000,seek_video,,,,579.527067,,onSlideSeek
2014-11-03 18:23:55.000000,seek_video,,,,579.527067,,onSlideSeek
2014-11-03 18:23:59.000000,seek_video,,,,579.527067,,onSlideSeek
2014-11-03 18:24:01.000000,seek_video,,,,579.527067,,onSlideSeek
2014-11-03 18:26:37.000000,pause_video,579.527067,,,,579.527067,
2014-11-03 18:26:37.000000,play_video,579.527067,,,,579.527067,
2014-11-03 18:32:34.000000,pause_video,1322.488956,,,,1322.488956,
2014-11-03 18:32:37.000000,seek_video,,,,1322.488956,,onSlideSeek
2014-11-03 18:32:40.000000,play_video,1314,,,,1314,
2014-11-03 18:36:22.000000,seek_video,,,,1535.32706,,onSlideSeek
2014-11-03 18:36:23.000000,seek_video,,,,1535.32706,,onSlideSeek
2014-11-03 18:36:27.000000,seek_video,,,,1535.32706,,onSlideSeek
2014-11-03 18:36:43.000000,pause_video,1535.32706,,,,1535.32706,
2014-11-03 18:36:51.000000,play_video,1535.32706,,,,1535.32706,
2014-11-03 18:36:51.000000,pause_video,1513.202444,,,,1513.202444,
2014-11-03 18:36:53.000000,play_video,1513.202444,,,,1513.202444,
2014-11-03 18:36:56.000000,pause_video,1515.719809,,,,1515.719809,
2014-11-03 18:36:57.000000,play_video,1515.719809,,,,1515.719809,
2014-11-03 18:38:19.000000,seek_video,,,,1596.91038,,onSlideSeek
2014-11-03 18:38:33.000000,pause_video,1596.91038,,,,1596.91038,
2014-11-03 18:38:34.000000,play_video,1596.91038,,,,1596.91038,
2014-11-03 18:38:38.000000,pause_video,1588.165067,,,,1588.165067,
2014-11-03 18:38:40.000000,play_video,1588.165067,,,,1588.165067,
2014-11-03 18:38:42.000000,pause_video,1590.047883,,,,1590.047883,
