wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-10-11 23:35:21.000000,load_video,None,,,,None,
2014-10-11 23:35:23.000000,play_video,0,,,,0,
2014-10-11 23:35:33.000000,seek_video,,,,9.93097,,onSlideSeek
2014-10-11 23:35:37.000000,pause_video,9.93097,,,,9.93097,
2014-10-11 23:35:54.000000,play_video,9.93097,,,,9.93097,
2014-10-11 23:36:30.000000,pause_video,39.654512,,,,39.654512,
2014-10-11 23:36:41.000000,seek_video,,,,39.654512,,onSlideSeek
2014-10-11 23:36:43.000000,play_video,37,,,,37,
2014-10-11 23:36:49.000000,seek_video,,,,41.976117,,onSlideSeek
2014-10-11 23:36:51.000000,seek_video,,,,41.976117,,onSlideSeek
2014-10-11 23:36:55.000000,pause_video,41.976117,,,,41.976117,
2014-10-11 23:37:15.000000,play_video,41.976117,,,,41.976117,
2014-10-11 23:37:17.000000,pause_video,33.017215,,,,33.017215,
2014-10-11 23:37:18.000000,play_video,33.017215,,,,33.017215,
2014-10-11 23:37:20.000000,pause_video,35.19228,,,,35.19228,
2014-10-11 23:38:46.000000,play_video,35.19228,,,,35.19228,
2014-10-11 23:38:51.000000,pause_video,39.370872,,,,39.370872,
2014-10-11 23:39:02.000000,play_video,39.370872,,,,39.370872,
2014-10-11 23:39:06.000000,pause_video,43.588684,,,,43.588684,
2014-10-11 23:40:01.000000,play_video,43.588684,,,,43.588684,
2014-10-15 00:31:13.000000,load_video,None,,,,None,
2014-10-15 00:31:46.000000,play_video,46,,,,46,
2014-10-15 00:31:48.000000,pause_video,48.416435,,,,48.416435,
2014-10-15 00:31:49.000000,stop_video,48.416435,,,,48.416435,
2014-10-15 00:31:49.000000,seek_video,,,,48.416435,,onSlideSeek
2014-10-15 00:31:49.000000,play_video,47,,,,47,
2014-10-15 00:31:50.000000,seek_video,,,,47.756666,,onSlideSeek
2014-10-15 00:31:50.000000,play_video,47.756666,,,,47.756666,
2014-10-15 00:31:53.000000,seek_video,,,,2.765614,,onSlideSeek
2014-10-15 00:31:54.000000,seek_video,,,,2.765614,,onSlideSeek
2014-10-15 01:06:03.000000,load_video,None,,,,None,
2014-10-15 01:06:06.000000,play_video,2.765614,,,,2.765614,
2014-10-15 01:06:07.000000,seek_video,,,,3.435992,,onSlideSeek
2014-10-15 01:06:15.000000,seek_video,,,,3.435992,,onSlideSeek
2014-10-15 01:06:30.000000,pause_video,3.435992,,,,3.435992,
2014-10-15 01:06:31.000000,play_video,3.435992,,,,3.435992,
2014-10-15 01:07:00.000000,pause_video,46.441349,,,,46.441349,
2014-10-15 01:07:22.000000,play_video,46.441349,,,,46.441349,
2014-10-15 01:07:25.000000,pause_video,48.431045,,,,48.431045,
2014-10-15 01:07:25.000000,stop_video,48.431045,,,,48.431045,
