wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-11-04 21:55:35.000000,load_video,None,,,,None,
2014-11-04 21:55:51.000000,load_video,None,,,,None,
2014-11-05 02:03:05.000000,load_video,None,,,,None,
2014-11-06 00:21:09.000000,play_video,0,,,,0,
2014-11-06 00:22:03.000000,pause_video,80.761979,,,,80.761979,
2014-11-06 00:22:23.000000,seek_video,,,,80.761979,,onSlideSeek
2014-11-06 01:33:13.000000,play_video,29,,,,29,
2014-11-06 01:33:58.000000,pause_video,95.610808,,,,95.610808,
2014-11-06 01:34:18.000000,play_video,95.610808,,,,95.610808,
2014-11-06 01:34:46.000000,pause_video,137.302764,,,,137.302764,
2014-11-06 01:35:11.000000,play_video,137.302764,,,,137.302764,
2014-11-06 01:36:13.000000,pause_video,229.563979,,,,229.563979,
2014-11-06 02:54:15.000000,play_video,229.563979,,,,229.563979,
2014-11-06 02:55:12.000000,seek_video,,,,314.421459,,onSlideSeek
2014-11-06 02:55:12.000000,play_video,314.421459,,,,314.421459,
2014-11-06 02:56:48.000000,pause_video,342.531211,,,,342.531211,
2014-11-06 03:10:45.000000,play_video,342.531211,,,,342.531211,
2014-11-06 03:13:49.000000,seek_video,,,,618.922132,,onSlideSeek
2014-11-06 03:13:49.000000,play_video,618.922132,,,,618.922132,
2014-11-06 03:13:51.000000,seek_video,,,,595.260522,,onSlideSeek
2014-11-06 03:13:51.000000,play_video,595.260522,,,,595.260522,
2014-11-06 03:14:49.000000,pause_video,653.758915,,,,653.758915,
2014-11-06 03:15:41.000000,play_video,653.758915,,,,653.758915,
2014-11-06 03:17:34.000000,pause_video,821.989428,,,,821.989428,
2014-11-06 03:17:34.000000,stop_video,821.989428,,,,821.989428,
2014-11-24 07:23:07.000000,load_video,None,,,,None,
2014-11-26 09:51:55.000000,load_video,None,,,,None,
2014-12-10 18:32:34.000000,load_video,None,,,,None,
2014-12-10 18:32:38.000000,play_video,821,,,,821,
2014-12-10 18:32:39.000000,pause_video,821.991596,,,,821.991596,
2014-12-10 18:32:39.000000,stop_video,821.991596,,,,821.991596,
2014-12-10 18:32:40.000000,seek_video,,,,821.991596,,onSlideSeek
2014-12-10 18:32:40.000000,play_video,185,,,,185,
2014-12-10 18:32:45.000000,seek_video,,,,190.914094,,onSlideSeek
2014-12-10 18:32:45.000000,play_video,191.297213,,,,191.297213,
2014-12-10 18:32:46.000000,seek_video,,,,326.316666,,onSlideSeek
2014-12-10 18:32:46.000000,play_video,326.699785,,,,326.699785,
2014-12-10 18:32:47.000000,seek_video,,,,382.689744,,onSlideSeek
2014-12-10 18:32:47.000000,play_video,383.072863,,,,383.072863,
2014-12-10 18:32:48.000000,seek_video,,,,455.52564,,onSlideSeek
2014-12-10 18:32:48.000000,play_video,455.52564,,,,455.52564,
2014-12-10 18:32:49.000000,seek_video,,,,516.038034,,onSlideSeek
2014-12-10 18:32:49.000000,play_video,516.038034,,,,516.038034,
2014-12-10 18:32:52.000000,seek_video,,,,557.301919,,onSlideSeek
2014-12-10 18:32:52.000000,play_video,557.301919,,,,557.301919,
2014-12-10 18:32:53.000000,seek_video,,,,607.142521,,onSlideSeek
2014-12-10 18:32:53.000000,play_video,607.142521,,,,607.142521,
2014-12-10 18:32:54.000000,seek_video,,,,655.152562,,onSlideSeek
2014-12-10 18:32:55.000000,play_video,655.152562,,,,655.152562,
