wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-11-30 00:13:23.000000,load_video,None,,,,None,
2014-11-30 00:15:32.000000,play_video,0,,,,0,
2014-11-30 00:18:07.000000,pause_video,231.959956,,,,231.959956,
2014-11-30 00:23:22.000000,play_video,231.959956,,,,231.959956,
2014-11-30 00:23:23.000000,pause_video,233.665092,,,,233.665092,
2014-11-30 00:23:46.000000,play_video,233.665092,,,,233.665092,
2014-11-30 00:23:47.000000,pause_video,235.721514,,,,235.721514,
2014-11-30 00:23:55.000000,play_video,235.721514,,,,235.721514,
2014-11-30 00:24:00.000000,pause_video,243.383946,,,,243.383946,
2014-11-30 00:24:11.000000,play_video,243.383946,,,,243.383946,
2014-11-30 00:24:27.000000,pause_video,267.588736,,,,267.588736,
2014-11-30 00:24:31.000000,play_video,267.588736,,,,267.588736,
2014-11-30 00:24:38.000000,pause_video,278.038982,,,,278.038982,
2014-11-30 00:26:34.000000,play_video,278.038982,,,,278.038982,
2014-11-30 00:26:45.000000,pause_video,293.954431,,,,293.954431,
2014-11-30 00:26:51.000000,play_video,293.954431,,,,293.954431,
2014-11-30 00:27:06.000000,seek_video,,,,317.604948,,onSlideSeek
2014-11-30 00:27:07.000000,play_video,317.604948,,,,317.604948,
2014-11-30 00:27:08.000000,seek_video,,,,269.007734,,onSlideSeek
2014-11-30 00:27:08.000000,play_video,269.007734,,,,269.007734,
2014-11-30 00:27:08.000000,seek_video,,,,228.006237,,onSlideSeek
2014-11-30 00:27:09.000000,play_video,228.006237,,,,228.006237,
2014-11-30 00:27:10.000000,seek_video,,,,190.077393,,onSlideSeek
2014-11-30 00:27:10.000000,play_video,190.077393,,,,190.077393,
2014-11-30 00:28:27.000000,seek_video,,,,284.282275,,onSlideSeek
2014-11-30 00:28:27.000000,play_video,284.282275,,,,284.282275,
2014-11-30 00:28:41.000000,seek_video,,,,290.09264,,onSlideSeek
2014-11-30 00:28:41.000000,play_video,290.09264,,,,290.09264,
2014-11-30 00:29:40.000000,seek_video,,,,361.021031,,onSlideSeek
2014-11-30 00:29:40.000000,play_video,361.021031,,,,361.021031,
2014-11-30 00:30:37.000000,pause_video,386.110138,,,,386.110138,
2014-11-30 00:30:37.000000,stop_video,386.110138,,,,386.110138,
