wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-10-10 20:35:14.000000,load_video,None,,,,None,
2014-10-10 20:35:18.000000,play_video,0,,,,0,
2014-10-10 20:35:26.000000,pause_video,7.29093456268,,,,7.29093456268,
2014-10-10 20:36:16.000000,load_video,None,,,,None,
2014-10-10 20:36:19.000000,load_video,None,,,,None,
2014-10-10 20:36:20.000000,play_video,7,,,,7,
2014-10-10 20:37:18.000000,pause_video,63.3588829041,,,,63.3588829041,
2014-10-10 20:39:54.000000,play_video,63.3588829041,,,,63.3588829041,
2014-10-10 20:41:18.000000,stop_video,148.047485352,,,,148.047485352,
2014-10-10 20:41:19.000000,pause_video,148.047485352,,,,148.047485352,
2014-10-13 20:41:47.000000,load_video,None,,,,None,
2014-10-13 20:41:50.000000,play_video,0,,,,0,
2014-10-13 20:44:19.000000,pause_video,148.022079468,,,,148.022079468,
2014-10-13 20:44:19.000000,stop_video,148.022079468,,,,148.022079468,
2014-10-15 23:08:06.000000,load_video,None,,,,None,
2014-10-15 23:24:23.000000,load_video,None,,,,None,
2014-10-15 23:24:26.000000,play_video,0,,,,0,
2014-10-15 23:26:54.000000,pause_video,148.06892395,,,,148.06892395,
2014-10-15 23:26:54.000000,stop_video,148.06892395,,,,148.06892395,
2014-10-15 23:27:02.000000,seek_video,,,,148.06892395,,onSlideSeek
2014-10-15 23:27:02.000000,play_video,100,,,,100,
2014-10-15 23:27:08.000000,seek_video,,,,105.285125732,,onSlideSeek
2014-10-15 23:27:10.000000,seek_video,,,,105.285125732,,onSlideSeek
2014-10-15 23:27:12.000000,seek_video,,,,105.285125732,,onSlideSeek
2014-10-15 23:27:14.000000,seek_video,,,,105.285125732,,onSlideSeek
2014-10-22 17:15:22.000000,load_video,None,,,,None,
2014-10-22 17:15:23.000000,seek_video,,,,105,,onSlideSeek
2014-10-22 17:15:25.000000,play_video,2,,,,2,
2014-10-22 17:16:25.000000,seek_video,,,,121.810020447,,onSlideSeek
