wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-11-21 09:07:25.000000,load_video,None,,,,None,
2014-11-25 05:18:18.000000,load_video,None,,,,None,
2014-11-25 05:18:38.000000,play_video,0,,,,0,
2014-11-25 05:19:10.000000,speed_change_video,None,1.50,1.25,,None,
2014-11-25 05:21:57.000000,pause_video,289.09408,,,,289.09408,
2014-11-25 05:22:45.000000,play_video,289.09408,,,,289.09408,
2014-11-25 05:37:19.000000,pause_video,1599.53521,,,,1599.53521,
2014-12-11 03:05:20.000000,load_video,None,,,,None,
2014-12-11 03:05:22.000000,seek_video,,,,1599,,onSlideSeek
2014-12-11 03:05:23.000000,play_video,83,,,,83,
2014-12-11 03:05:25.000000,seek_video,,,,84.373218,,onSlideSeek
2014-12-11 03:05:25.000000,play_video,26,,,,26,
2014-12-11 03:06:00.000000,seek_video,,,,77.956535,,onSlideSeek
2014-12-11 03:06:00.000000,play_video,77.956535,,,,77.956535,
2014-12-11 03:07:29.000000,pause_video,276.003618,,,,276.003618,
2014-12-11 03:07:46.000000,play_video,276.003618,,,,276.003618,
2014-12-11 03:08:43.000000,pause_video,362.309883,,,,362.309883,
2014-12-11 03:08:45.000000,play_video,362.309883,,,,362.309883,
2014-12-11 03:09:05.000000,pause_video,391.566243,,,,391.566243,
2014-12-11 03:09:12.000000,play_video,391.566243,,,,391.566243,
2014-12-11 03:09:14.000000,seek_video,,,,394.80534,,onSlideSeek
2014-12-11 03:09:15.000000,play_video,394.80534,,,,394.80534,
2014-12-11 03:09:16.000000,seek_video,,,,498.290381,,onSlideSeek
2014-12-11 03:09:17.000000,play_video,498.638671,,,,498.638671,
2014-12-11 03:09:18.000000,seek_video,,,,717.593801,,onSlideSeek
2014-12-11 03:09:18.000000,play_video,717.593801,,,,717.593801,
2014-12-11 03:09:19.000000,pause_video,860.907262,,,,860.907262,
2014-12-11 03:17:27.000000,load_video,None,,,,None,
2014-12-11 03:17:34.000000,seek_video,,,,860,,onCaptionSeek
2014-12-11 03:17:39.000000,play_video,593.64,,,,593.64,
2014-12-11 03:18:02.000000,pause_video,628.425838,,,,628.425838,
