wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-12-08 05:29:41.000000,load_video,None,,,,None,
2014-12-08 05:33:06.000000,load_video,None,,,,None,
2014-12-08 05:33:08.000000,play_video,0,,,,0,
2014-12-08 05:33:29.000000,pause_video,30.553536,,,,30.553536,
2014-12-08 05:33:46.000000,play_video,30.553536,,,,30.553536,
2014-12-08 05:36:06.000000,pause_video,240.084803,,,,240.084803,
2014-12-08 05:36:38.000000,play_video,240.084803,,,,240.084803,
2014-12-08 05:37:09.000000,pause_video,286.651179,,,,286.651179,
2014-12-08 05:37:19.000000,play_video,286.651179,,,,286.651179,
2014-12-08 05:37:19.000000,pause_video,287.66122,,,,287.66122,
2014-12-08 05:37:20.000000,play_video,287.66122,,,,287.66122,
2014-12-08 05:42:38.000000,pause_video,763.355702,,,,763.355702,
2014-12-08 05:42:40.000000,play_video,763.355702,,,,763.355702,
2014-12-08 05:42:43.000000,pause_video,767.778985,,,,767.778985,
2014-12-08 05:43:17.000000,play_video,767.778985,,,,767.778985,
2014-12-08 05:56:37.000000,pause_video,1966.8718,,,,1966.8718,
2014-12-08 05:56:37.000000,stop_video,1966.8718,,,,1966.8718,
2014-12-08 05:56:51.000000,seek_video,,,,1966.8718,,onSlideSeek
2014-12-08 05:56:51.000000,play_video,1088,,,,1088,
2014-12-08 05:56:52.000000,seek_video,,,,1088,,onSlideSeek
2014-12-08 05:56:52.000000,play_video,1088,,,,1088,
2014-12-08 05:56:52.000000,seek_video,,,,914,,onSlideSeek
2014-12-08 05:56:53.000000,play_video,914,,,,914,
2014-12-08 05:56:53.000000,seek_video,,,,1045.739912,,onSlideSeek
2014-12-08 05:56:54.000000,play_video,1045.739912,,,,1045.739912,
2014-12-08 05:56:56.000000,seek_video,,,,980.386916,,onSlideSeek
2014-12-08 05:56:56.000000,play_video,980.386916,,,,980.386916,
2014-12-08 05:56:59.000000,seek_video,,,,1071.910371,,onSlideSeek
2014-12-08 05:57:00.000000,play_video,1071.910371,,,,1071.910371,
2014-12-08 05:57:02.000000,seek_video,,,,1131.038626,,onSlideSeek
2014-12-08 05:57:02.000000,play_video,1131.038626,,,,1131.038626,
2014-12-08 05:57:02.000000,seek_video,,,,1156,,onSlideSeek
2014-12-08 05:57:02.000000,play_video,1156,,,,1156,
2014-12-08 05:57:04.000000,seek_video,,,,1195.516191,,onSlideSeek
2014-12-08 05:57:05.000000,play_video,1195.516191,,,,1195.516191,
2014-12-08 05:57:06.000000,pause_video,1277.098243,,,,1277.098243,
2014-12-08 05:57:32.000000,play_video,1277.098243,,,,1277.098243,
2014-12-08 05:57:33.000000,pause_video,1278.770038,,,,1278.770038,
2014-12-08 22:39:55.000000,load_video,None,,,,None,
2014-12-08 22:39:58.000000,seek_video,,,,1278,,onSlideSeek
2014-12-11 05:55:59.000000,load_video,None,,,,None,
2014-12-11 05:56:09.000000,load_video,None,,,,None,
