wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-12-10 02:50:03.000000,load_video,None,,,,None,
2014-12-10 02:50:08.000000,play_video,0,,,,0,
2014-12-10 02:50:34.000000,pause_video,24.3375072479,,,,24.3375072479,
2014-12-10 02:52:25.000000,load_video,None,,,,None,
2014-12-10 02:52:28.000000,play_video,24.3375072479,,,,24.3375072479,
2014-12-10 02:52:29.000000,play_video,24.3366661072,,,,24.3366661072,
2014-12-10 02:52:31.000000,play_video,24.3366661072,,,,24.3366661072,
2014-12-10 02:54:46.000000,pause_video,158.114974976,,,,158.114974976,
2014-12-10 03:00:01.000000,load_video,None,,,,None,
2014-12-10 03:00:11.000000,play_video,24,,,,24,
2014-12-10 03:00:49.000000,pause_video,61.6612510681,,,,61.6612510681,
2014-12-10 03:06:39.000000,load_video,None,,,,None,
2014-12-10 03:06:44.000000,play_video,61,,,,61,
2014-12-10 03:06:46.000000,play_video,61,,,,61,
