wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-10-22 07:29:07.000000,load_video,None,,,,None,
2014-10-22 07:29:12.000000,play_video,0,,,,0,
2014-10-22 07:29:17.000000,seek_video,,,,9.361588,,onSlideSeek
2014-10-22 07:29:17.000000,play_video,9.361588,,,,9.361588,
2014-10-22 07:29:18.000000,seek_video,,,,28.631818,,onSlideSeek
2014-10-22 07:29:18.000000,play_video,28.631818,,,,28.631818,
2014-10-22 07:29:19.000000,seek_video,,,,49.909824,,onSlideSeek
2014-10-22 07:29:19.000000,play_video,49.909824,,,,49.909824,
2014-10-22 07:29:20.000000,seek_video,,,,84.019739,,onSlideSeek
2014-10-22 07:29:20.000000,play_video,84.019739,,,,84.019739,
2014-10-22 07:29:21.000000,seek_video,,,,112.044795,,onSlideSeek
2014-10-22 07:29:21.000000,play_video,112.044795,,,,112.044795,
2014-10-22 07:29:26.000000,seek_video,,,,95.020283,,onSlideSeek
2014-10-22 07:29:26.000000,play_video,95.020283,,,,95.020283,
2014-10-22 07:29:38.000000,seek_video,,,,83.552196,,onSlideSeek
2014-10-22 07:29:38.000000,play_video,83.552196,,,,83.552196,
2014-10-22 07:29:38.000000,seek_video,,,,83.907146,,onSlideSeek
2014-10-22 07:29:39.000000,play_video,83.907146,,,,83.907146,
2014-10-22 07:29:40.000000,seek_video,,,,110.887829,,onSlideSeek
2014-10-22 07:29:40.000000,play_video,110.887829,,,,110.887829,
2014-10-22 07:29:43.000000,seek_video,,,,131.221819,,onSlideSeek
2014-10-22 07:29:43.000000,play_video,131.221819,,,,131.221819,
2014-10-22 07:29:44.000000,seek_video,,,,147.453412,,onSlideSeek
2014-10-22 07:29:44.000000,play_video,147.453412,,,,147.453412,
2014-10-22 07:29:45.000000,seek_video,,,,163.058081,,onSlideSeek
2014-10-22 07:29:45.000000,play_video,163.058081,,,,163.058081,
2014-10-22 07:29:46.000000,seek_video,,,,180.66583,,onSlideSeek
2014-10-22 07:29:47.000000,play_video,180.66583,,,,180.66583,
2014-10-22 07:29:47.000000,seek_video,,,,192.655605,,onSlideSeek
2014-10-22 07:29:47.000000,play_video,192.655605,,,,192.655605,
2014-10-22 07:29:51.000000,seek_video,,,,213.342871,,onSlideSeek
2014-10-22 07:29:51.000000,play_video,213.342871,,,,213.342871,
2014-10-22 07:29:51.000000,seek_video,,,,228.743975,,onSlideSeek
2014-10-22 07:29:52.000000,play_video,228.743975,,,,228.743975,
2014-10-22 07:29:52.000000,seek_video,,,,245.671099,,onSlideSeek
2014-10-22 07:29:52.000000,play_video,245.671099,,,,245.671099,
2014-10-22 07:29:53.000000,seek_video,,,,266.835256,,onSlideSeek
2014-10-22 07:29:54.000000,play_video,266.835256,,,,266.835256,
2014-10-22 07:29:55.000000,seek_video,,,,284.46387,,onSlideSeek
2014-10-22 07:29:55.000000,play_video,284.46387,,,,284.46387,
2014-10-22 07:29:56.000000,seek_video,,,,307.842334,,onSlideSeek
2014-10-22 07:29:56.000000,play_video,307.842334,,,,307.842334,
2014-10-22 07:29:59.000000,seek_video,,,,329.039387,,onSlideSeek
2014-10-22 07:29:59.000000,play_video,329.039387,,,,329.039387,
2014-10-22 07:30:00.000000,seek_video,,,,352.647264,,onSlideSeek
2014-10-22 07:30:00.000000,play_video,352.647264,,,,352.647264,
2014-10-22 07:30:04.000000,seek_video,,,,378.176863,,onSlideSeek
2014-10-22 07:30:04.000000,play_video,378.176863,,,,378.176863,
2014-10-22 07:30:05.000000,seek_video,,,,401.117616,,onSlideSeek
2014-10-22 07:30:06.000000,play_video,401.117616,,,,401.117616,
2014-10-22 07:30:06.000000,seek_video,,,,400,,onSlideSeek
2014-10-22 07:30:06.000000,play_video,400,,,,400,
2014-10-22 07:30:07.000000,seek_video,,,,419.423515,,onSlideSeek
2014-10-22 07:30:07.000000,play_video,419.423515,,,,419.423515,
