wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-10-01 08:12:21.000000,load_video,None,,,,None,
2014-10-01 08:12:26.000000,play_video,0,,,,0,
2014-10-01 16:06:38.000000,load_video,None,,,,None,
2014-10-01 16:06:41.000000,play_video,8,,,,8,
2014-10-01 16:06:46.000000,pause_video,13.237382,,,,13.237382,
2014-10-01 16:07:19.000000,play_video,13.237382,,,,13.237382,
2014-10-01 16:19:13.000000,seek_video,,,,905.230616,,onSlideSeek
2014-10-01 16:19:13.000000,play_video,905.230616,,,,905.230616,
2014-10-01 16:19:21.000000,speed_change_video,None,1.50,1.25,,None,
2014-10-01 16:22:50.000000,pause_video,1140.04466,,,,1140.04466,
2014-10-01 16:23:55.000000,play_video,1140.04466,,,,1140.04466,
2014-10-01 16:25:03.000000,seek_video,,,,1241.488305,,onSlideSeek
2014-10-01 16:25:03.000000,play_video,1241.488305,,,,1241.488305,
2014-10-01 16:28:43.000000,pause_video,1517.239707,,,,1517.239707,
2014-10-01 16:28:43.000000,stop_video,1517.239707,,,,1517.239707,
2014-10-06 06:48:42.000000,load_video,None,,,,None,
2014-10-06 06:48:48.000000,play_video,0,,,,0,
2014-10-06 06:48:55.000000,speed_change_video,None,1.25,1.50,,None,
2014-10-06 06:50:19.000000,seek_video,,,,115.20619,,onSlideSeek
2014-10-06 06:50:20.000000,play_video,115.20619,,,,115.20619,
2014-10-06 06:50:20.000000,pause_video,76.408089,,,,76.408089,
2014-10-06 06:52:44.000000,play_video,76.408089,,,,76.408089,
2014-10-06 06:54:48.000000,pause_video,231.669825,,,,231.669825,
2014-10-06 06:59:07.000000,play_video,231.669825,,,,231.669825,
2014-10-06 06:59:43.000000,seek_video,,,,276.806018,,onSlideSeek
2014-10-06 06:59:43.000000,play_video,276.806018,,,,276.806018,
2014-10-06 06:59:45.000000,pause_video,230.877327,,,,230.877327,
2014-10-06 07:00:47.000000,play_video,230.877327,,,,230.877327,
2014-10-06 07:01:14.000000,pause_video,264.576961,,,,264.576961,
2014-10-06 07:01:23.000000,play_video,264.576961,,,,264.576961,
2014-10-06 07:03:04.000000,pause_video,391.085125,,,,391.085125,
2014-10-06 07:03:11.000000,play_video,391.085125,,,,391.085125,
2014-10-06 07:06:19.000000,seek_video,,,,625.895687,,onSlideSeek
2014-10-06 07:06:19.000000,play_video,625.895687,,,,625.895687,
2014-10-06 07:08:38.000000,pause_video,704.71392,,,,704.71392,
2014-10-06 07:10:44.000000,play_video,704.71392,,,,704.71392,
2014-10-06 07:12:36.000000,pause_video,845.387288,,,,845.387288,
2014-10-06 07:30:04.000000,seek_video,,,,845.387288,,onSlideSeek
2014-10-06 07:30:04.000000,seek_video,,,,806,,onSlideSeek
2014-10-06 07:30:05.000000,seek_video,,,,775,,onSlideSeek
2014-10-06 07:30:05.000000,seek_video,,,,730,,onSlideSeek
2014-10-06 07:30:19.000000,seek_video,,,,773,,onSlideSeek
2014-10-06 07:30:21.000000,seek_video,,,,815,,onSlideSeek
2014-10-06 07:30:23.000000,seek_video,,,,862,,onSlideSeek
2014-10-06 07:30:25.000000,seek_video,,,,809,,onSlideSeek
2014-10-06 07:31:11.000000,seek_video,,,,753,,onSlideSeek
2014-10-06 07:31:12.000000,seek_video,,,,829,,onSlideSeek
2014-10-06 07:34:24.000000,seek_video,,,,893,,onSlideSeek
2014-10-06 07:59:16.000000,seek_video,,,,874,,onSlideSeek
2014-10-06 07:59:17.000000,seek_video,,,,966,,onSlideSeek
2014-10-06 07:59:18.000000,seek_video,,,,1006,,onSlideSeek
2014-10-06 07:59:20.000000,seek_video,,,,1062,,onSlideSeek
2014-10-06 07:59:21.000000,seek_video,,,,1112,,onSlideSeek
2014-10-06 07:59:22.000000,seek_video,,,,1197,,onSlideSeek
2014-10-06 07:59:44.000000,seek_video,,,,1264,,onSlideSeek
2014-10-06 07:59:50.000000,play_video,1320,,,,1320,
2014-10-06 08:00:44.000000,pause_video,1386.404186,,,,1386.404186,
2014-10-06 08:02:09.000000,seek_video,,,,1386.404186,,onSlideSeek
2014-10-06 08:02:10.000000,pause_video,556,,,,556,
2014-10-06 08:07:03.000000,seek_video,,,,556,,onSlideSeek
2014-10-06 08:07:07.000000,seek_video,,,,787,,onSlideSeek
2014-10-06 08:07:09.000000,seek_video,,,,986,,onSlideSeek
2014-10-06 08:07:11.000000,seek_video,,,,1098,,onSlideSeek
2014-10-06 08:07:13.000000,seek_video,,,,1208,,onSlideSeek
2014-10-06 08:07:15.000000,seek_video,,,,1295,,onSlideSeek
2014-10-06 08:07:17.000000,seek_video,,,,1388,,onSlideSeek
2014-10-06 08:07:18.000000,pause_video,298,,,,298,
2014-10-06 08:07:19.000000,seek_video,,,,298,,onSlideSeek
2014-10-06 09:35:55.000000,seek_video,,,,461,,onSlideSeek
2014-10-06 09:35:57.000000,seek_video,,,,517,,onSlideSeek
2014-10-06 09:35:59.000000,seek_video,,,,635,,onSlideSeek
2014-10-06 09:44:09.000000,seek_video,,,,683,,onSlideSeek
2014-10-06 09:59:30.000000,play_video,733,,,,733,
