wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-10-01 08:05:30.000000,load_video,None,,,,None,
2014-10-01 08:05:37.000000,play_video,0,,,,0,
2014-10-01 08:08:49.000000,pause_video,240.394806,,,,240.394806,
2014-10-01 08:09:01.000000,play_video,240.394806,,,,240.394806,
2014-10-01 08:12:14.000000,pause_video,481.119578,,,,481.119578,
2014-10-01 08:12:14.000000,stop_video,481.119578,,,,481.119578,
2014-10-11 22:53:18.000000,load_video,None,,,,None,
2014-10-11 22:53:31.000000,play_video,0,,,,0,
2014-10-11 22:54:05.000000,seek_video,,,,42.235451,,onSlideSeek
2014-10-11 22:54:05.000000,play_video,42.235451,,,,42.235451,
2014-10-11 22:54:07.000000,seek_video,,,,22.280564,,onSlideSeek
2014-10-11 22:54:07.000000,play_video,22.280564,,,,22.280564,
2014-10-11 22:57:20.000000,pause_video,248.373711,,,,248.373711,
2014-10-11 22:57:47.000000,play_video,248.373711,,,,248.373711,
2014-10-11 22:58:20.000000,pause_video,289.335684,,,,289.335684,
2014-10-11 22:58:24.000000,play_video,289.335684,,,,289.335684,
2014-10-11 23:00:56.000000,seek_video,,,,479.185475,,onSlideSeek
2014-10-11 23:00:56.000000,play_video,479.185475,,,,479.185475,
2014-10-22 07:44:21.000000,load_video,None,,,,None,
2014-10-22 08:04:57.000000,load_video,None,,,,None,
2014-10-22 08:05:01.000000,play_video,0,,,,0,
2014-10-22 08:05:07.000000,pause_video,10.966363,,,,10.966363,
2014-10-22 08:13:26.000000,play_video,10.966363,,,,10.966363,
2014-10-22 08:14:06.000000,pause_video,91.32043,,,,91.32043,
2014-10-22 08:25:03.000000,play_video,91.32043,,,,91.32043,
2014-10-22 08:27:56.000000,seek_video,,,,437.884748,,onSlideSeek
2014-10-22 08:27:56.000000,play_video,437.884748,,,,437.884748,
2014-10-22 08:28:09.000000,seek_video,,,,413.800896,,onSlideSeek
2014-10-22 08:28:09.000000,play_video,413.800896,,,,413.800896,
2014-10-22 08:28:21.000000,seek_video,,,,378.401641,,onSlideSeek
2014-10-22 08:28:21.000000,play_video,378.401641,,,,378.401641,
2014-10-22 08:28:23.000000,seek_video,,,,345.092287,,onSlideSeek
2014-10-22 08:28:24.000000,play_video,345.092287,,,,345.092287,
2014-10-22 08:29:54.000000,pause_video,481.147906,,,,481.147906,
2014-10-22 08:29:54.000000,stop_video,481.147906,,,,481.147906,
