wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-12-09 09:32:50.000000,load_video,None,,,,None,
2014-12-09 19:13:41.000000,load_video,None,,,,None,
2014-12-09 19:26:02.000000,load_video,None,,,,None,
2014-12-09 19:26:04.000000,play_video,0,,,,0,
2014-12-09 19:26:06.000000,pause_video,2.097275,,,,2.097275,
2014-12-09 19:35:14.000000,play_video,2.097275,,,,2.097275,
2014-12-09 19:37:48.000000,pause_video,193.936953,,,,193.936953,
2014-12-09 19:38:23.000000,play_video,193.936953,,,,193.936953,
2014-12-09 19:40:52.000000,pause_video,378.463953,,,,378.463953,
2014-12-09 19:40:52.000000,stop_video,378.463953,,,,378.463953,
2014-12-10 10:19:41.000000,load_video,None,,,,None,
2014-12-10 10:19:43.000000,play_video,378,,,,378,
2014-12-10 10:19:44.000000,pause_video,379.174736,,,,379.174736,
2014-12-10 10:19:44.000000,stop_video,379.174736,,,,379.174736,
2015-06-19 05:29:33.000000,load_video,None,,,,None,
2015-06-19 05:29:36.000000,play_video,0,,,,0,
2015-06-19 05:29:36.000000,pause_video,0.243,,,,0.243,
2015-06-24 09:27:53.000000,load_video,None,,,,None,
2015-06-24 10:41:00.000000,load_video,None,,,,None,
2015-06-25 11:14:29.000000,load_video,None,,,,None,
2015-06-26 08:40:03.000000,load_video,None,,,,None,
2015-06-26 08:40:05.000000,play_video,0,,,,0,
2015-06-26 08:40:06.000000,pause_video,0.2715,,,,0.2715,
2015-06-28 22:06:24.000000,load_video,None,,,,None,
2015-06-29 00:41:10.000000,load_video,None,,,,None,
2015-06-29 00:46:06.000000,load_video,None,,,,None,
2015-06-29 00:46:19.000000,load_video,None,,,,None,
2015-06-29 00:46:21.000000,play_video,0,,,,0,
2015-06-29 00:47:12.000000,pause_video,75.6015,,,,75.6015,
2015-06-29 00:47:15.000000,play_video,75.6015,,,,75.6015,
2015-06-29 00:48:14.000000,pause_video,165.2715,,,,165.2715,
2015-06-29 00:48:58.000000,play_video,165.2715,,,,165.2715,
2015-06-29 00:49:23.000000,seek_video,,,,203.4915,,onCaptionSeek
2015-06-29 00:49:23.000000,play_video,203.8815,,,,203.8815,
2015-06-29 00:50:08.000000,seek_video,,,,277.5315,,onCaptionSeek
2015-06-29 00:50:08.000000,play_video,277.5315,,,,277.5315,
2015-06-29 00:50:15.000000,pause_video,293.9915,,,,293.9915,
2015-06-29 00:50:18.000000,play_video,293.9915,,,,293.9915,
2015-06-29 00:50:39.000000,seek_video,,,,325.1915,,onCaptionSeek
2015-06-29 00:50:39.000000,play_video,325.1915,,,,325.1915,
2015-06-29 00:50:58.000000,pause_video,358.1315,,,,358.1315,
2015-06-29 00:51:03.000000,play_video,358.1315,,,,358.1315,
2015-06-29 00:51:17.000000,stop_video,378.8615,,,,378.8615,
