wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-10-05 01:34:10.000000,load_video,None,,,,None,
2014-10-05 01:34:15.000000,play_video,0,,,,0,
2014-10-05 01:34:19.000000,seek_video,,,,3.657,,onSlideSeek
2014-10-05 01:34:19.000000,play_video,3.657,,,,3.657,
2014-10-05 01:34:20.000000,seek_video,,,,39.82599,,onSlideSeek
2014-10-05 01:34:21.000000,play_video,39.82599,,,,39.82599,
2014-10-05 01:34:23.000000,seek_video,,,,78.307996,,onSlideSeek
2014-10-05 01:34:23.000000,play_video,78.307996,,,,78.307996,
2014-10-05 01:34:24.000000,seek_video,,,,64.327986,,onSlideSeek
2014-10-05 01:34:24.000000,play_video,64.327986,,,,64.327986,
2014-10-05 01:34:29.000000,seek_video,,,,51.245979,,onCaptionSeek
2014-10-05 01:34:29.000000,play_video,51.245979,,,,51.245979,
2014-10-05 01:34:42.000000,pause_video,68.549995,,,,68.549995,
2014-10-05 01:36:54.000000,play_video,68.549995,,,,68.549995,
2014-10-05 01:37:32.000000,seek_video,,,,106.350995,,onCaptionSeek
2014-10-05 01:37:32.000000,play_video,106.350995,,,,106.350995,
2014-10-05 01:37:34.000000,seek_video,,,,99.920997,,onCaptionSeek
2014-10-05 01:37:35.000000,play_video,99.920997,,,,99.920997,
2014-10-05 01:37:36.000000,seek_video,,,,102.763995,,onCaptionSeek
2014-10-05 01:37:36.000000,play_video,102.763995,,,,102.763995,
2014-10-05 01:38:42.000000,seek_video,,,,175.241173,,onCaptionSeek
2014-10-05 01:38:42.000000,play_video,175.241173,,,,175.241173,
2014-10-05 01:38:43.000000,seek_video,,,,163.278992,,onCaptionSeek
2014-10-05 01:38:43.000000,play_video,163.278992,,,,163.278992,
2014-10-05 01:38:44.000000,seek_video,,,,161.139985,,onCaptionSeek
2014-10-05 01:38:44.000000,play_video,161.139985,,,,161.139985,
2014-10-05 01:38:46.000000,seek_video,,,,156.881989,,onSlideSeek
2014-10-05 01:38:46.000000,play_video,156.881989,,,,156.881989,
2014-10-05 01:38:47.000000,seek_video,,,,183.412982,,onSlideSeek
2014-10-05 01:38:47.000000,play_video,183.412982,,,,183.412982,
2014-10-05 01:38:49.000000,seek_video,,,,207.123988,,onSlideSeek
2014-10-05 01:38:49.000000,play_video,207.123988,,,,207.123988,
2014-10-05 01:38:51.000000,seek_video,,,,195.11298,,onSlideSeek
2014-10-05 01:38:51.000000,play_video,195.11298,,,,195.11298,
2014-10-05 01:38:56.000000,pause_video,178.111995,,,,178.111995,
2014-10-05 01:38:57.000000,play_video,178.111995,,,,178.111995,
2014-10-05 01:38:58.000000,seek_video,,,,179.206995,,onSlideSeek
2014-10-05 01:38:59.000000,play_video,179.206995,,,,179.206995,
2014-10-05 01:39:20.000000,seek_video,,,,225.552988,,onSlideSeek
2014-10-05 01:39:21.000000,play_video,225.552988,,,,225.552988,
2014-10-05 01:39:22.000000,seek_video,,,,246.58399,,onSlideSeek
2014-10-05 01:39:22.000000,play_video,246.58399,,,,246.58399,
2014-10-05 01:39:28.000000,seek_video,,,,240.841982,,onSlideSeek
2014-10-05 01:39:28.000000,play_video,240.841982,,,,240.841982,
2014-10-05 01:39:34.000000,seek_video,,,,262.159,,onSlideSeek
2014-10-05 01:39:35.000000,play_video,262.159,,,,262.159,
2014-10-05 01:39:36.000000,seek_video,,,,275.980984,,onSlideSeek
2014-10-05 01:39:36.000000,play_video,275.980984,,,,275.980984,
2014-10-05 01:39:38.000000,seek_video,,,,290.364994,,onSlideSeek
2014-10-05 01:39:38.000000,play_video,290.364994,,,,290.364994,
2014-10-05 01:39:42.000000,seek_video,,,,282.201984,,onCaptionSeek
2014-10-05 01:39:43.000000,play_video,282.201984,,,,282.201984,
2014-10-05 01:39:44.000000,seek_video,,,,290.495994,,onCaptionSeek
2014-10-05 01:39:44.000000,play_video,290.495994,,,,290.495994,
2014-10-05 01:40:09.000000,seek_video,,,,322.453999,,onSlideSeek
2014-10-05 01:40:09.000000,play_video,322.453999,,,,322.453999,
2014-10-05 01:40:10.000000,seek_video,,,,342.533991,,onSlideSeek
2014-10-05 01:40:10.000000,play_video,342.533991,,,,342.533991,
2014-10-05 01:40:11.000000,seek_video,,,,364.441989,,onSlideSeek
2014-10-05 01:40:11.000000,play_video,364.441989,,,,364.441989,
2014-10-05 01:40:48.000000,seek_video,,,,421.988993,,onCaptionSeek
2014-10-05 01:40:49.000000,play_video,421.988993,,,,421.988993,
2014-10-05 01:41:03.000000,seek_video,,,,404.659985,,onCaptionSeek
2014-10-05 01:41:03.000000,play_video,404.659985,,,,404.659985,
2014-10-05 01:41:06.000000,seek_video,,,,416.392994,,onCaptionSeek
2014-10-05 01:41:06.000000,play_video,416.392994,,,,416.392994,
2014-10-05 01:41:10.000000,pause_video,425.974999,,,,425.974999,
2014-10-05 01:41:11.000000,stop_video,425.974999,,,,425.974999,
