wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-10-08 23:01:35.000000,load_video,None,,,,None,
2014-10-08 23:02:01.000000,play_video,0,,,,0,
2014-10-08 23:02:07.000000,pause_video,8.954178,,,,8.954178,
2014-10-08 23:02:19.000000,play_video,8.954178,,,,8.954178,
2014-10-08 23:02:47.000000,speed_change_video,None,2.0,1.50,,None,
2014-10-08 23:05:28.000000,seek_video,,,,372.117716,,onSlideSeek
2014-10-08 23:05:28.000000,stop_video,372.117716,,,,372.117716,
2014-10-08 23:05:28.000000,play_video,372.117716,,,,372.117716,
2014-10-08 23:05:28.000000,pause_video,373.052024,,,,373.052024,
2014-10-08 23:18:56.000000,load_video,None,,,,None,
