wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-09-30 18:56:46.000000,load_video,None,,,,None,
2014-09-30 18:56:52.000000,play_video,0,,,,0,
2014-09-30 19:00:12.000000,pause_video,283.607473,,,,283.607473,
2014-09-30 19:00:29.000000,play_video,283.607473,,,,283.607473,
2014-09-30 19:00:33.000000,pause_video,287.226343,,,,287.226343,
2014-09-30 19:00:47.000000,play_video,287.226343,,,,287.226343,
2014-09-30 19:02:06.000000,pause_video,396.277045,,,,396.277045,
2014-09-30 19:02:47.000000,play_video,396.277045,,,,396.277045,
2014-09-30 19:02:49.000000,pause_video,399.405405,,,,399.405405,
2014-09-30 19:03:04.000000,play_video,399.405405,,,,399.405405,
2014-09-30 19:04:10.000000,pause_video,481.296033,,,,481.296033,
2014-09-30 19:04:10.000000,stop_video,481.296033,,,,481.296033,
2014-10-01 04:19:09.000000,load_video,None,,,,None,
2014-10-01 04:19:13.000000,play_video,0,,,,0,
2014-10-01 04:19:32.000000,pause_video,37.450675,,,,37.450675,
2014-10-01 04:19:35.000000,play_video,37.450675,,,,37.450675,
2014-10-01 04:19:53.000000,seek_video,,,,72.627272,,onSlideSeek
2014-10-01 04:19:53.000000,play_video,72.627272,,,,72.627272,
2014-10-01 04:19:56.000000,pause_video,94.715919,,,,94.715919,
2014-10-01 04:19:59.000000,seek_video,,,,94.715919,,onSlideSeek
2014-10-01 04:20:00.000000,play_video,116,,,,116,
2014-10-01 04:20:01.000000,seek_video,,,,117.309848,,onSlideSeek
2014-10-01 04:20:01.000000,play_video,117.309848,,,,117.309848,
2014-10-01 04:20:02.000000,seek_video,,,,168.05081,,onSlideSeek
2014-10-01 04:20:03.000000,play_video,168.05081,,,,168.05081,
2014-10-01 04:20:04.000000,seek_video,,,,190.448357,,onSlideSeek
2014-10-01 04:20:04.000000,play_video,190.448357,,,,190.448357,
2014-10-01 04:20:04.000000,pause_video,213.161517,,,,213.161517,
2014-10-01 04:20:06.000000,play_video,213.161517,,,,213.161517,
2014-10-01 04:20:11.000000,pause_video,221.737915,,,,221.737915,
2014-10-01 05:00:46.000000,seek_video,,,,221.737915,,onSlideSeek
2014-10-01 05:00:47.000000,seek_video,,,,207,,onSlideSeek
2014-10-01 05:00:47.000000,seek_video,,,,196,,onSlideSeek
2014-10-01 05:00:48.000000,seek_video,,,,184,,onSlideSeek
2014-10-01 05:00:49.000000,seek_video,,,,171,,onSlideSeek
2014-10-01 05:00:50.000000,seek_video,,,,158,,onSlideSeek
2014-10-01 05:00:50.000000,seek_video,,,,144,,onSlideSeek
2014-10-01 05:00:51.000000,seek_video,,,,129,,onSlideSeek
2014-10-01 05:00:52.000000,seek_video,,,,114,,onSlideSeek
2014-10-01 05:00:53.000000,seek_video,,,,103,,onSlideSeek
2014-10-01 05:00:53.000000,seek_video,,,,86,,onSlideSeek
2014-10-01 05:00:54.000000,play_video,78,,,,78,
2014-10-01 05:00:54.000000,seek_video,,,,78.408412,,onSlideSeek
2014-10-01 05:00:55.000000,play_video,78.408412,,,,78.408412,
2014-10-01 05:00:55.000000,pause_video,34,,,,34,
2014-10-01 05:00:56.000000,seek_video,,,,34,,onSlideSeek
2014-10-01 05:00:56.000000,seek_video,,,,246,,onSlideSeek
2014-10-01 05:00:57.000000,seek_video,,,,280,,onSlideSeek
2014-10-01 05:21:27.000000,load_video,None,,,,None,
2014-10-01 05:21:32.000000,play_video,288,,,,288,
2014-10-01 05:21:33.000000,pause_video,291.39749,,,,291.39749,
2014-10-01 05:21:44.000000,play_video,291.39749,,,,291.39749,
2014-10-01 05:21:46.000000,seek_video,,,,294.464602,,onSlideSeek
2014-10-01 05:21:46.000000,play_video,294.464602,,,,294.464602,
2014-10-01 05:21:47.000000,seek_video,,,,304.608211,,onSlideSeek
2014-10-01 05:21:47.000000,play_video,304.608211,,,,304.608211,
2014-10-01 05:21:48.000000,seek_video,,,,317.983831,,onSlideSeek
2014-10-01 05:21:48.000000,play_video,317.983831,,,,317.983831,
2014-10-01 05:21:48.000000,seek_video,,,,327.815063,,onSlideSeek
2014-10-01 05:21:49.000000,play_video,327.815063,,,,327.815063,
2014-10-01 05:21:49.000000,seek_video,,,,340.512036,,onSlideSeek
2014-10-01 05:21:49.000000,play_video,340.512036,,,,340.512036,
2014-10-01 05:22:10.000000,pause_video,397.786907,,,,397.786907,
2014-10-01 05:35:43.000000,play_video,397.786907,,,,397.786907,
2014-10-01 05:35:45.000000,seek_video,,,,401.587969,,onSlideSeek
2014-10-01 05:35:45.000000,play_video,401.587969,,,,401.587969,
2014-10-01 05:35:45.000000,seek_video,,,,416.50377,,onSlideSeek
2014-10-01 05:35:46.000000,play_video,416.50377,,,,416.50377,
2014-10-01 05:35:46.000000,seek_video,,,,427,,onSlideSeek
2014-10-01 05:35:46.000000,play_video,427,,,,427,
2014-10-01 05:35:57.000000,pause_video,464.506628,,,,464.506628,
2014-10-01 06:00:47.000000,seek_video,,,,464.506628,,onSlideSeek
