wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-10-01 07:20:56.000000,load_video,None,,,,None,
2014-10-01 08:44:56.000000,load_video,None,,,,None,
2014-10-01 08:45:07.000000,load_video,None,,,,None,
2014-10-22 09:42:02.000000,load_video,None,,,,None,
2014-10-22 09:42:11.000000,play_video,0,,,,0,
2014-10-22 09:42:12.000000,pause_video,0.444456189871,,,,0.444456189871,
2014-10-22 09:42:14.000000,play_video,0.444456189871,,,,0.444456189871,
2014-10-22 09:46:53.000000,pause_video,279.157836914,,,,279.157836914,
2014-10-22 09:49:36.000000,play_video,279.157836914,,,,279.157836914,
2014-10-22 09:51:21.000000,pause_video,384.156311035,,,,384.156311035,
2014-10-22 09:51:21.000000,stop_video,384.156311035,,,,384.156311035,
2014-10-22 16:07:51.000000,load_video,None,,,,None,
2014-10-22 17:06:50.000000,load_video,None,,,,None,
