wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-10-01 02:40:36.000000,load_video,None,,,,None,
2014-10-01 02:58:53.000000,load_video,None,,,,None,
2014-10-01 02:58:54.000000,play_video,0,,,,0,
2014-10-01 03:00:59.000000,pause_video,249.442568,,,,249.442568,
2014-10-01 03:01:13.000000,play_video,249.442568,,,,249.442568,
2014-10-01 03:01:45.000000,pause_video,313.635468,,,,313.635468,
2014-10-01 03:01:51.000000,play_video,313.635468,,,,313.635468,
2014-10-01 03:02:08.000000,pause_video,348.22321,,,,348.22321,
2014-10-01 03:02:10.000000,play_video,348.22321,,,,348.22321,
2014-10-01 03:05:06.000000,pause_video,699.211516,,,,699.211516,
2014-10-01 03:05:08.000000,play_video,699.211516,,,,699.211516,
2014-10-01 03:06:44.000000,pause_video,873.060857,,,,873.060857,
2014-10-01 03:06:44.000000,stop_video,873.060857,,,,873.060857,
2014-10-21 22:10:38.000000,load_video,None,,,,None,
2014-10-21 22:10:39.000000,play_video,0,,,,0,
2014-10-21 22:10:46.000000,speed_change_video,None,2.0,1.50,,None,
2014-10-21 22:12:58.000000,pause_video,274.806243,,,,274.806243,
2014-10-21 22:15:36.000000,play_video,274.806243,,,,274.806243,
2014-10-21 22:15:49.000000,seek_video,,,,301.2734,,onSlideSeek
2014-10-21 22:15:49.000000,play_video,301.2734,,,,301.2734,
2014-10-21 22:15:50.000000,seek_video,,,,335.26728,,onSlideSeek
2014-10-21 22:15:50.000000,play_video,335.26728,,,,335.26728,
2014-10-21 22:15:52.000000,seek_video,,,,375.24606,,onSlideSeek
2014-10-21 22:15:52.000000,play_video,375.24606,,,,375.24606,
2014-10-21 22:15:53.000000,seek_video,,,,396.052746,,onSlideSeek
2014-10-21 22:15:53.000000,play_video,396.052746,,,,396.052746,
2014-10-21 22:15:53.000000,seek_video,,,,396.53008,,onSlideSeek
2014-10-21 22:15:54.000000,play_video,396.53008,,,,396.53008,
2014-10-21 22:15:54.000000,seek_video,,,,426.41597,,onSlideSeek
2014-10-21 22:15:54.000000,play_video,426.41597,,,,426.41597,
2014-10-21 22:15:55.000000,seek_video,,,,455.659478,,onSlideSeek
2014-10-21 22:15:55.000000,play_video,455.659478,,,,455.659478,
2014-10-21 22:15:55.000000,seek_video,,,,483.815106,,onSlideSeek
2014-10-21 22:15:56.000000,play_video,483.815106,,,,483.815106,
2014-10-21 22:15:56.000000,seek_video,,,,503.003356,,onSlideSeek
2014-10-21 22:15:56.000000,play_video,503.003356,,,,503.003356,
2014-10-21 22:15:57.000000,seek_video,,,,528.82511,,onSlideSeek
2014-10-21 22:15:57.000000,play_video,528.82511,,,,528.82511,
2014-10-21 22:15:58.000000,seek_video,,,,550.269456,,onSlideSeek
2014-10-21 22:15:58.000000,play_video,550.269456,,,,550.269456,
2014-10-21 22:15:59.000000,seek_video,,,,575.693586,,onSlideSeek
2014-10-21 22:15:59.000000,play_video,575.693586,,,,575.693586,
2014-10-21 22:16:01.000000,seek_video,,,,600.002316,,onSlideSeek
2014-10-21 22:16:01.000000,play_video,600.002316,,,,600.002316,
2014-10-21 22:16:02.000000,seek_video,,,,621.01189,,onSlideSeek
2014-10-21 22:16:02.000000,play_video,621.01189,,,,621.01189,
2014-10-21 22:16:02.000000,seek_video,,,,646.55375,,onSlideSeek
2014-10-21 22:16:02.000000,play_video,646.55375,,,,646.55375,
2014-10-21 22:16:05.000000,seek_video,,,,682.79736,,onSlideSeek
2014-10-21 22:16:06.000000,play_video,682.79736,,,,682.79736,
2014-10-21 22:16:08.000000,pause_video,661.063178,,,,661.063178,
2014-10-21 22:16:51.000000,load_video,None,,,,None,
2014-10-21 22:16:54.000000,play_video,661,,,,661,
2014-10-21 22:16:54.000000,pause_video,661.31593,,,,661.31593,
2014-10-21 22:17:20.000000,play_video,661.31593,,,,661.31593,
2014-10-21 22:17:27.000000,pause_video,675.984681,,,,675.984681,
2014-10-21 22:35:53.000000,speed_change_video,None,0.50,2.0,,None,
2014-10-21 22:35:55.000000,speed_change_video,None,2.0,0.50,,None,
2014-10-21 22:35:57.000000,seek_video,,,,675.984681,,onSlideSeek
2014-10-21 22:35:57.000000,pause_video,560,,,,560,
2014-10-21 23:40:58.000000,play_video,560,,,,560,
2014-10-21 23:41:06.000000,pause_video,575.890582,,,,575.890582,
