wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-10-14 04:40:29.000000,load_video,None,,,,None,
2014-10-14 04:40:30.000000,play_video,0,,,,0,
2014-10-14 04:41:11.000000,load_video,None,,,,None,
2014-10-14 04:41:12.000000,play_video,7.776897,,,,7.776897,
2014-10-14 04:41:39.000000,pause_video,41.301138,,,,41.301138,
2014-10-14 04:42:10.000000,play_video,41.301138,,,,41.301138,
2014-10-14 04:42:29.000000,pause_video,65.454536,,,,65.454536,
2014-10-14 04:43:22.000000,play_video,65.454536,,,,65.454536,
2014-10-14 04:44:01.000000,pause_video,113.571042,,,,113.571042,
2014-10-16 23:40:43.000000,load_video,None,,,,None,
2014-10-16 23:40:46.000000,play_video,113,,,,113,
2014-10-16 23:40:48.000000,seek_video,,,,115.063535,,onSlideSeek
2014-10-16 23:40:48.000000,play_video,115.063535,,,,115.063535,
2014-10-16 23:40:49.000000,seek_video,,,,115.081953,,onSlideSeek
2014-10-16 23:40:49.000000,play_video,115.081953,,,,115.081953,
2014-10-16 23:40:49.000000,seek_video,,,,97.266859,,onSlideSeek
2014-10-16 23:40:50.000000,play_video,97.266859,,,,97.266859,
2014-10-16 23:40:50.000000,seek_video,,,,120.046776,,onSlideSeek
2014-10-16 23:40:50.000000,play_video,120.046776,,,,120.046776,
2014-10-16 23:40:51.000000,seek_video,,,,131.02484,,onSlideSeek
2014-10-16 23:40:51.000000,play_video,131.02484,,,,131.02484,
2014-10-16 23:40:52.000000,seek_video,,,,143.526303,,onSlideSeek
2014-10-16 23:40:52.000000,play_video,143.526303,,,,143.526303,
2014-10-16 23:40:52.000000,seek_video,,,,164.236532,,onSlideSeek
2014-10-16 23:40:52.000000,play_video,164.236532,,,,164.236532,
2014-10-16 23:40:53.000000,seek_video,,,,186.392037,,onSlideSeek
2014-10-16 23:40:53.000000,play_video,186.392037,,,,186.392037,
2014-10-16 23:40:53.000000,seek_video,,,,213,,onSlideSeek
2014-10-16 23:40:54.000000,play_video,213,,,,213,
2014-10-16 23:40:54.000000,seek_video,,,,259.39505,,onSlideSeek
2014-10-16 23:40:54.000000,play_video,259.39505,,,,259.39505,
2014-10-16 23:40:55.000000,seek_video,,,,307.378652,,onSlideSeek
2014-10-16 23:40:55.000000,play_video,307.378652,,,,307.378652,
2014-10-16 23:40:56.000000,seek_video,,,,392.568787,,onSlideSeek
2014-10-16 23:40:57.000000,play_video,392.568787,,,,392.568787,
2014-10-16 23:40:58.000000,pause_video,442.758048,,,,442.758048,
2014-10-16 23:46:21.000000,play_video,442.758048,,,,442.758048,
2014-10-16 23:48:57.000000,pause_video,637.969424,,,,637.969424,
