wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-11-23 09:06:02.000000,load_video,None,,,,None,
2014-11-23 09:06:05.000000,play_video,0,,,,0,
2014-11-23 09:06:06.000000,play_video,0,,,,0,
2014-11-23 09:06:10.000000,speed_change_video,None,1.50,2.0,,None,
2014-11-23 09:16:06.000000,seek_video,,,,898.488899,,onSlideSeek
2014-11-23 09:16:07.000000,play_video,898.488899,,,,898.488899,
2014-11-23 09:24:25.000000,stop_video,1604.690102,,,,1604.690102,
2014-11-23 09:24:25.000000,pause_video,1604.690102,,,,1604.690102,
2014-12-11 00:16:14.000000,load_video,None,,,,None,
2014-12-11 00:26:36.000000,load_video,None,,,,None,
2014-12-11 00:27:03.000000,play_video,1604,,,,1604,
2014-12-11 00:27:05.000000,play_video,1604,,,,1604,
2014-12-11 00:27:06.000000,pause_video,1604.821122,,,,1604.821122,
2014-12-11 00:27:06.000000,stop_video,1604.821122,,,,1604.821122,
2014-12-11 00:27:11.000000,play_video,1604.821122,,,,1604.821122,
2014-12-11 00:27:12.000000,play_video,0,,,,0,
2014-12-11 00:36:21.000000,seek_video,,,,823.822687,,onSlideSeek
2014-12-11 00:36:21.000000,play_video,824.222006,,,,824.222006,
2014-12-11 00:36:22.000000,seek_video,,,,792.42119,,onSlideSeek
2014-12-11 00:36:23.000000,play_video,792.42119,,,,792.42119,
2014-12-11 00:36:24.000000,seek_video,,,,756.488469,,onSlideSeek
2014-12-11 00:36:24.000000,play_video,756.488469,,,,756.488469,
2014-12-11 00:36:25.000000,seek_video,,,,725.555442,,onSlideSeek
2014-12-11 00:36:25.000000,play_video,725.555442,,,,725.555442,
2014-12-11 00:46:36.000000,pause_video,1604.890136,,,,1604.890136,
2014-12-11 00:46:36.000000,stop_video,1604.890136,,,,1604.890136,
