wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-10-20 03:39:31.000000,load_video,None,,,,None,
2014-10-20 03:39:33.000000,play_video,0,,,,0,
2014-10-20 03:40:03.000000,pause_video,29.5955810547,,,,29.5955810547,
2014-10-20 03:40:26.000000,play_video,29.5955810547,,,,29.5955810547,
2014-10-20 03:41:11.000000,pause_video,74.53855896,,,,74.53855896,
2014-10-20 03:43:12.000000,play_video,74.53855896,,,,74.53855896,
2014-10-20 03:52:31.000000,seek_video,,,,633.880554199,,onSlideSeek
2014-10-20 03:52:41.000000,pause_video,633.880554199,,,,633.880554199,
2014-10-20 03:52:41.000000,play_video,633.880554199,,,,633.880554199,
2014-10-20 03:53:47.000000,pause_video,670.670898438,,,,670.670898438,
2014-10-20 03:53:51.000000,play_video,670.670898438,,,,670.670898438,
2014-10-20 03:53:54.000000,pause_video,674.429199219,,,,674.429199219,
2014-10-20 03:53:55.000000,play_video,674.429199219,,,,674.429199219,
2014-10-20 03:54:10.000000,pause_video,689.197875977,,,,689.197875977,
2014-10-20 03:54:10.000000,stop_video,689.197875977,,,,689.197875977,
2014-10-20 03:55:37.000000,load_video,None,,,,None,
2014-10-20 15:33:54.000000,play_video,0,,,,0,
2014-10-20 15:34:07.000000,pause_video,12.9384384155,,,,12.9384384155,
2014-10-20 15:37:48.000000,play_video,12.9384384155,,,,12.9384384155,
2014-10-20 15:37:50.000000,seek_video,,,,14.5494394302,,onSlideSeek
2014-10-20 15:37:52.000000,seek_video,,,,14.5494394302,,onSlideSeek
2014-10-20 15:37:56.000000,seek_video,,,,14.5494394302,,onSlideSeek
2014-10-20 15:37:58.000000,seek_video,,,,14.5494394302,,onSlideSeek
2014-10-20 15:38:03.000000,pause_video,14.5494394302,,,,14.5494394302,
2014-10-22 06:27:48.000000,load_video,None,,,,None,
