wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-10-08 06:02:59.000000,load_video,None,,,,None,
2014-10-08 06:42:10.000000,load_video,None,,,,None,
2014-10-08 16:32:41.000000,load_video,None,,,,None,
2014-10-08 16:39:39.000000,load_video,None,,,,None,
2014-10-08 16:39:41.000000,play_video,0,,,,0,
2014-10-08 16:40:32.000000,load_video,None,,,,None,
2014-10-08 16:40:33.000000,play_video,0,,,,0,
2014-10-08 16:42:23.000000,pause_video,108.577430725,,,,108.577430725,
2014-10-08 16:43:06.000000,play_video,108.577430725,,,,108.577430725,
2014-10-08 16:44:51.000000,pause_video,213.070037842,,,,213.070037842,
2014-10-08 16:44:51.000000,stop_video,213.070037842,,,,213.070037842,
