wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-10-22 02:49:09.000000,load_video,None,,,,None,
2014-10-22 03:32:04.000000,load_video,None,,,,None,
2014-10-22 03:36:37.000000,play_video,0,,,,0,
2014-10-22 03:48:07.000000,pause_video,689.017129,,,,689.017129,
2014-10-22 03:48:07.000000,stop_video,689.017129,,,,689.017129,
2014-10-22 03:48:10.000000,seek_video,,,,689.017129,,onSlideSeek
2014-10-22 03:48:10.000000,play_video,643,,,,643,
2014-10-22 03:48:13.000000,seek_video,,,,645.442268,,onSlideSeek
2014-10-22 03:48:13.000000,play_video,645.442268,,,,645.442268,
2014-10-22 03:48:16.000000,seek_video,,,,612.124153,,onSlideSeek
2014-10-22 03:48:16.000000,play_video,612.124153,,,,612.124153,
2014-10-22 03:49:54.000000,pause_video,688.989908,,,,688.989908,
2014-10-22 03:49:54.000000,stop_video,688.989908,,,,688.989908,
