wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-10-22 17:29:46.000000,load_video,None,,,,None,
2014-10-22 17:54:03.000000,load_video,None,,,,None,
2014-10-22 18:01:49.000000,load_video,None,,,,None,
2014-10-22 18:04:14.000000,play_video,0,,,,0,
2014-10-22 18:08:42.000000,seek_video,,,,267.161172,,onSlideSeek
2014-10-22 18:08:42.000000,play_video,267.161172,,,,267.161172,
2014-10-22 18:09:35.000000,seek_video,,,,350.542843,,onSlideSeek
2014-10-22 18:09:35.000000,play_video,350.542843,,,,350.542843,
2014-10-22 18:09:36.000000,seek_video,,,,377.429771,,onSlideSeek
2014-10-22 18:09:37.000000,play_video,377.429771,,,,377.429771,
2014-10-22 18:09:40.000000,seek_video,,,,401.11863,,onSlideSeek
2014-10-22 18:09:40.000000,play_video,401.11863,,,,401.11863,
2014-10-22 18:09:42.000000,seek_video,,,,425.43905,,onSlideSeek
2014-10-22 18:09:42.000000,play_video,425.43905,,,,425.43905,
2014-10-22 18:09:43.000000,play_video,450.748701,,,,450.748701,
2014-10-22 18:09:43.000000,seek_video,,,,450.748701,,onSlideSeek
2014-10-22 18:09:44.000000,seek_video,,,,480.1812,,onSlideSeek
2014-10-22 18:09:45.000000,play_video,480.1812,,,,480.1812,
2014-10-22 18:09:50.000000,seek_video,,,,506.658063,,onSlideSeek
2014-10-22 18:09:50.000000,play_video,506.658063,,,,506.658063,
2014-10-22 18:10:22.000000,seek_video,,,,559.653764,,onSlideSeek
2014-10-22 18:10:22.000000,play_video,559.653764,,,,559.653764,
2014-10-22 18:10:25.000000,seek_video,,,,586.335324,,onSlideSeek
2014-10-22 18:10:25.000000,play_video,586.335324,,,,586.335324,
2014-10-22 18:10:27.000000,seek_video,,,,604.062655,,onSlideSeek
2014-10-22 18:10:27.000000,play_video,604.062655,,,,604.062655,
2014-10-22 18:10:28.000000,seek_video,,,,640.721244,,onSlideSeek
2014-10-22 18:10:28.000000,play_video,640.721244,,,,640.721244,
2014-10-22 18:10:31.000000,seek_video,,,,678.327126,,onSlideSeek
2014-10-22 18:10:31.000000,play_video,678.327126,,,,678.327126,
2014-10-22 18:10:32.000000,seek_video,,,,701.754429,,onSlideSeek
2014-10-22 18:10:33.000000,play_video,701.754429,,,,701.754429,
2014-10-22 18:10:37.000000,seek_video,,,,728.156965,,onSlideSeek
2014-10-22 18:10:37.000000,play_video,728.156965,,,,728.156965,
2014-10-22 18:10:39.000000,seek_video,,,,716.618904,,onSlideSeek
2014-10-22 18:10:39.000000,play_video,716.618904,,,,716.618904,
2014-10-22 18:14:31.000000,stop_video,931.344645,,,,931.344645,
2014-10-22 18:14:31.000000,pause_video,931.344645,,,,931.344645,
2014-11-08 21:24:05.000000,load_video,None,,,,None,
2014-11-08 21:24:52.000000,load_video,None,,,,None,
