wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-10-07 17:34:41.000000,load_video,None,,,,None,
2014-10-07 22:11:56.000000,load_video,None,,,,None,
2014-10-07 22:11:58.000000,play_video,0,,,,0,
2014-10-07 22:12:37.000000,pause_video,49.206992,,,,49.206992,
2014-10-07 22:13:41.000000,play_video,49.206992,,,,49.206992,
2014-10-07 22:13:53.000000,pause_video,63.148569,,,,63.148569,
2014-10-07 22:13:59.000000,seek_video,,,,63.148569,,onSlideSeek
2014-10-07 22:14:00.000000,play_video,48,,,,48,
2014-10-07 22:14:34.000000,seek_video,,,,90.333846,,onSlideSeek
2014-10-07 22:14:34.000000,play_video,90.333846,,,,90.333846,
2014-10-07 22:15:11.000000,pause_video,121.08669,,,,121.08669,
2014-10-07 22:15:52.000000,play_video,121.08669,,,,121.08669,
2014-10-07 22:16:33.000000,pause_video,173.23628,,,,173.23628,
2014-10-07 22:16:43.000000,play_video,173.23628,,,,173.23628,
2014-10-07 22:16:49.000000,pause_video,181.258082,,,,181.258082,
2014-10-07 22:17:00.000000,seek_video,,,,181.258082,,onSlideSeek
2014-10-07 22:17:02.000000,seek_video,,,,160,,onSlideSeek
2014-10-07 22:17:04.000000,play_video,142,,,,142,
2014-10-07 22:17:40.000000,pause_video,187.881504,,,,187.881504,
2014-10-07 22:17:50.000000,play_video,187.881504,,,,187.881504,
2014-10-07 22:18:08.000000,pause_video,211.066095,,,,211.066095,
2014-10-07 22:18:47.000000,play_video,211.066095,,,,211.066095,
2014-10-07 22:18:56.000000,pause_video,223.3655,,,,223.3655,
2014-10-07 22:19:38.000000,seek_video,,,,223.3655,,onSlideSeek
2014-10-07 22:24:11.000000,play_video,208,,,,208,
2014-10-07 22:24:17.000000,pause_video,214.830001,,,,214.830001,
2014-10-07 22:24:27.000000,play_video,214.830001,,,,214.830001,
2014-10-07 22:25:58.000000,seek_video,,,,327.533122,,onSlideSeek
2014-10-07 22:25:58.000000,play_video,327.533122,,,,327.533122,
2014-10-07 22:25:59.000000,seek_video,,,,258.755255,,onSlideSeek
2014-10-07 22:26:00.000000,play_video,258.755255,,,,258.755255,
2014-10-07 22:26:01.000000,seek_video,,,,209.141945,,onSlideSeek
2014-10-07 22:26:01.000000,play_video,209.141945,,,,209.141945,
2014-10-07 22:26:02.000000,pause_video,177.298204,,,,177.298204,
