wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-09-25 06:55:54.000000,load_video,None,,,,None,
2014-09-29 21:10:19.000000,load_video,None,,,,None,
2014-09-29 22:32:27.000000,load_video,None,,,,None,
2014-09-30 00:31:37.000000,load_video,None,,,,None,
2014-09-30 01:06:49.000000,load_video,None,,,,None,
2014-09-30 01:06:54.000000,play_video,0,,,,0,
2014-09-30 01:07:00.000000,pause_video,5.967897,,,,5.967897,
2014-09-30 01:12:13.000000,play_video,5.967897,,,,5.967897,
2014-09-30 01:12:14.000000,pause_video,6.872368,,,,6.872368,
2014-09-30 01:12:17.000000,play_video,6.872368,,,,6.872368,
2014-09-30 01:12:27.000000,pause_video,17.647446,,,,17.647446,
2014-09-30 01:13:00.000000,play_video,17.647446,,,,17.647446,
2014-09-30 01:20:44.000000,pause_video,481.651518,,,,481.651518,
2014-09-30 01:20:44.000000,stop_video,481.651518,,,,481.651518,
2014-09-30 01:20:49.000000,seek_video,,,,481.651518,,onSlideSeek
2014-09-30 01:20:50.000000,play_video,464,,,,464,
2014-09-30 01:21:07.000000,pause_video,481.574063,,,,481.574063,
2014-09-30 01:21:08.000000,stop_video,481.574063,,,,481.574063,
2014-09-30 01:21:08.000000,seek_video,,,,481.574063,,onSlideSeek
2014-09-30 01:21:08.000000,play_video,424,,,,424,
2014-09-30 01:21:11.000000,seek_video,,,,427.232837,,onSlideSeek
2014-09-30 01:21:11.000000,play_video,427.232837,,,,427.232837,
2014-09-30 01:21:53.000000,seek_video,,,,51.561163,,onSlideSeek
2014-09-30 01:21:53.000000,play_video,51.561163,,,,51.561163,
2014-09-30 01:22:09.000000,seek_video,,,,418.023389,,onSlideSeek
2014-09-30 01:22:10.000000,play_video,418.023389,,,,418.023389,
2014-09-30 01:22:39.000000,seek_video,,,,465.177725,,onSlideSeek
2014-09-30 01:22:39.000000,play_video,465.177725,,,,465.177725,
2014-09-30 01:22:42.000000,seek_video,,,,457.61383,,onSlideSeek
2014-09-30 01:22:42.000000,play_video,457.61383,,,,457.61383,
2014-09-30 01:22:50.000000,pause_video,456.797005,,,,456.797005,
2014-09-30 01:22:56.000000,seek_video,,,,456.797005,,onSlideSeek
2014-09-30 01:22:58.000000,seek_video,,,,4,,onSlideSeek
2014-09-30 01:23:24.000000,seek_video,,,,12,,onSlideSeek
2014-09-30 01:23:27.000000,seek_video,,,,174,,onSlideSeek
2014-09-30 01:23:33.000000,seek_video,,,,201,,onSlideSeek
2014-09-30 01:23:34.000000,seek_video,,,,193,,onSlideSeek
2014-09-30 01:23:35.000000,seek_video,,,,183,,onSlideSeek
2014-09-30 01:23:37.000000,seek_video,,,,173,,onSlideSeek
2014-09-30 01:23:42.000000,seek_video,,,,161,,onSlideSeek
2014-09-30 01:23:45.000000,seek_video,,,,155,,onSlideSeek
2014-09-30 01:23:53.000000,seek_video,,,,147,,onSlideSeek
2014-09-30 01:23:54.000000,seek_video,,,,158,,onSlideSeek
2014-09-30 01:23:55.000000,seek_video,,,,166,,onSlideSeek
2014-09-30 01:23:59.000000,seek_video,,,,181,,onSlideSeek
2014-09-30 01:24:36.000000,seek_video,,,,201,,onSlideSeek
2014-09-30 01:25:53.000000,seek_video,,,,213,,onSlideSeek
2014-09-30 01:25:55.000000,play_video,319,,,,319,
2014-09-30 01:28:14.000000,pause_video,457.925617,,,,457.925617,
2014-09-30 01:29:04.000000,play_video,457.925617,,,,457.925617,
2014-09-30 01:29:28.000000,pause_video,481.4127,,,,481.4127,
2014-09-30 01:29:28.000000,stop_video,481.4127,,,,481.4127,
2014-09-30 01:29:40.000000,seek_video,,,,481.4127,,onSlideSeek
2014-09-30 01:29:41.000000,play_video,469,,,,469,
2014-09-30 01:29:53.000000,pause_video,481.537977,,,,481.537977,
2014-09-30 01:29:54.000000,stop_video,481.537977,,,,481.537977,
2014-09-30 01:29:56.000000,seek_video,,,,481.537977,,onSlideSeek
2014-09-30 01:29:56.000000,play_video,466,,,,466,
2014-09-30 01:29:58.000000,pause_video,467.713155,,,,467.713155,
2014-09-30 01:31:11.000000,play_video,467.713155,,,,467.713155,
2014-09-30 01:31:25.000000,pause_video,481.596783,,,,481.596783,
2014-09-30 01:31:25.000000,stop_video,481.596783,,,,481.596783,
2014-12-13 07:37:41.000000,load_video,None,,,,None,
2014-12-13 07:55:28.000000,load_video,None,,,,None,
