wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-10-13 19:35:24.000000,load_video,None,,,,None,
2014-10-13 19:35:25.000000,speed_change_video,None,2.0,1.50,,None,
2014-10-13 19:35:26.000000,play_video,0,,,,0,
2014-10-13 19:36:08.000000,stop_video,81.814,,,,81.814,
2014-10-13 19:36:08.000000,pause_video,81.814,,,,81.814,
2014-10-13 20:09:19.000000,load_video,None,,,,None,
2014-10-13 20:09:59.000000,load_video,None,,,,None,
2014-10-13 20:10:01.000000,play_video,81,,,,81,
2014-10-13 20:10:02.000000,pause_video,81.796,,,,81.796,
2014-10-13 20:10:02.000000,stop_video,81.796,,,,81.796,
2014-10-13 20:10:05.000000,play_video,81.796,,,,81.796,
2014-10-13 20:10:05.000000,play_video,0,,,,0,
2014-10-13 20:10:10.000000,speed_change_video,None,1.50,2.0,,None,
2014-10-13 20:10:12.000000,speed_change_video,None,1.25,1.50,,None,
2014-10-14 16:01:52.000000,load_video,None,,,,None,
