wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-12-10 22:21:02.000000,load_video,None,,,,None,
2014-12-10 22:21:04.000000,play_video,0,,,,0,
2014-12-10 22:21:08.000000,seek_video,,,,4.25,,onSlideSeek
2014-12-10 22:21:08.000000,play_video,4.25,,,,4.25,
2014-12-10 22:21:08.000000,seek_video,,,,50.425,,onSlideSeek
2014-12-10 22:21:09.000000,play_video,50.425,,,,50.425,
2014-12-10 22:21:09.000000,seek_video,,,,118.375,,onSlideSeek
2014-12-10 22:21:09.000000,play_video,118.7,,,,118.7,
2014-12-10 22:21:11.000000,seek_video,,,,245.55125,,onSlideSeek
2014-12-10 22:21:13.000000,seek_video,,,,611,,onSlideSeek
2014-12-10 22:21:13.000000,play_video,611,,,,611,
2014-12-10 22:21:14.000000,play_video,710,,,,710,
2014-12-11 06:29:38.000000,load_video,None,,,,None,
2014-12-11 06:29:41.000000,play_video,711,,,,711,
2014-12-11 06:30:02.000000,seek_video,,,,736.4,,onSlideSeek
2014-12-11 06:30:02.000000,play_video,736.70125,,,,736.70125,
2014-12-11 06:30:03.000000,seek_video,,,,759.15125,,onSlideSeek
2014-12-11 06:30:04.000000,seek_video,,,,34,,onSlideSeek
2014-12-11 06:30:05.000000,play_video,34,,,,34,
2014-12-11 06:30:06.000000,seek_video,,,,66,,onSlideSeek
2014-12-11 06:30:06.000000,play_video,66,,,,66,
2014-12-11 06:30:07.000000,seek_video,,,,118,,onSlideSeek
2014-12-11 06:30:07.000000,play_video,118,,,,118,
2014-12-11 06:30:09.000000,play_video,157,,,,157,
2014-12-11 06:30:10.000000,seek_video,,,,158.02625,,onSlideSeek
2014-12-11 06:30:12.000000,play_video,285,,,,285,
