wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-09-23 21:17:11.000000,load_video,None,,,,None,
2014-09-24 00:47:44.000000,load_video,None,,,,None,
2014-09-24 00:47:46.000000,play_video,0,,,,0,
2014-09-24 00:51:24.000000,seek_video,,,,272.82196,,onSlideSeek
2014-09-24 00:51:24.000000,play_video,272.82196,,,,272.82196,
2014-09-24 00:51:28.000000,pause_video,254.428842,,,,254.428842,
2014-09-24 00:51:38.000000,seek_video,,,,254.428842,,onSlideSeek
2014-09-24 00:51:39.000000,play_video,278,,,,278,
2014-09-24 00:53:05.000000,pause_video,384.727867,,,,384.727867,
2014-09-24 00:53:05.000000,stop_video,384.727867,,,,384.727867,
