wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-10-22 03:34:45.000000,load_video,None,,,,None,
2014-10-22 04:09:41.000000,load_video,None,,,,None,
2014-10-22 04:09:50.000000,play_video,0,,,,0,
2014-10-22 04:09:53.000000,seek_video,,,,4.559766,,onSlideSeek
2014-10-22 04:09:54.000000,play_video,4.559766,,,,4.559766,
2014-10-22 04:09:57.000000,seek_video,,,,106.128767,,onSlideSeek
2014-10-22 04:09:57.000000,play_video,106.128767,,,,106.128767,
2014-10-22 04:09:58.000000,seek_video,,,,79.348666,,onSlideSeek
2014-10-22 04:09:58.000000,play_video,79.348666,,,,79.348666,
2014-10-22 04:09:59.000000,seek_video,,,,60.487089,,onSlideSeek
2014-10-22 04:10:00.000000,play_video,60.487089,,,,60.487089,
2014-10-22 04:13:22.000000,pause_video,347.042155,,,,347.042155,
2014-10-22 04:13:42.000000,play_video,347.042155,,,,347.042155,
2014-10-22 04:14:07.000000,seek_video,,,,384.324476,,onSlideSeek
2014-10-22 04:14:07.000000,play_video,384.324476,,,,384.324476,
2014-10-22 04:15:28.000000,pause_video,517.274872,,,,517.274872,
2014-10-22 04:15:30.000000,play_video,517.274872,,,,517.274872,
