wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-11-05 01:53:29.000000,load_video,None,,,,None,
2014-11-05 01:54:05.000000,play_video,0,,,,0,
2014-11-05 01:54:07.000000,seek_video,,,,2.194285,,onSlideSeek
2014-11-05 01:54:08.000000,play_video,2.194285,,,,2.194285,
2014-11-05 01:54:08.000000,seek_video,,,,9,,onSlideSeek
2014-11-05 01:54:08.000000,play_video,9,,,,9,
2014-11-05 01:56:43.000000,seek_video,,,,176.5404,,onSlideSeek
2014-11-05 01:56:43.000000,play_video,176.5404,,,,176.5404,
2014-11-05 01:56:43.000000,seek_video,,,,176.006,,onSlideSeek
2014-11-05 01:56:44.000000,play_video,176.006,,,,176.006,
2014-11-05 01:56:56.000000,seek_video,,,,175.411066,,onSlideSeek
2014-11-05 01:56:56.000000,play_video,175.411066,,,,175.411066,
2014-11-05 01:56:58.000000,seek_video,,,,176.335147,,onSlideSeek
2014-11-05 01:56:58.000000,play_video,176.335147,,,,176.335147,
2014-11-05 01:58:14.000000,pause_video,261.124016,,,,261.124016,
2014-11-05 03:36:07.000000,play_video,261.124016,,,,261.124016,
2014-11-05 03:36:16.000000,play_video,265.060656,,,,265.060656,
2014-11-05 03:38:12.000000,pause_video,385.46772,,,,385.46772,
2014-11-05 03:39:08.000000,play_video,385.46772,,,,385.46772,
2014-11-05 03:39:09.000000,pause_video,386.19916,,,,386.19916,
2014-11-05 03:39:11.000000,play_video,386.19916,,,,386.19916,
2014-11-05 03:40:31.000000,pause_video,466.5402,,,,466.5402,
2014-11-05 03:40:31.000000,stop_video,466.5402,,,,466.5402,
