wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-10-07 23:12:24.000000,load_video,None,,,,None,
2014-10-07 23:12:27.000000,play_video,0,,,,0,
2014-10-07 23:13:51.000000,pause_video,84.067848,,,,84.067848,
2014-10-07 23:14:25.000000,play_video,84.067848,,,,84.067848,
2014-10-07 23:15:30.000000,pause_video,149.339136,,,,149.339136,
2014-10-07 23:16:14.000000,play_video,149.339136,,,,149.339136,
2014-10-07 23:16:20.000000,pause_video,155.062864,,,,155.062864,
2014-10-07 23:18:50.000000,play_video,155.062864,,,,155.062864,
2014-10-07 23:18:51.000000,pause_video,155.724624,,,,155.724624,
2014-10-07 23:19:22.000000,play_video,155.724624,,,,155.724624,
2014-10-07 23:19:45.000000,pause_video,178.863312,,,,178.863312,
2014-10-07 23:19:57.000000,play_video,178.863312,,,,178.863312,
2014-10-07 23:22:06.000000,pause_video,307.86176,,,,307.86176,
2014-10-07 23:22:08.000000,play_video,307.86176,,,,307.86176,
2014-10-07 23:22:12.000000,pause_video,312.261952,,,,312.261952,
2014-10-07 23:22:22.000000,play_video,312.261952,,,,312.261952,
2014-10-07 23:23:23.000000,pause_video,373.400096,,,,373.400096,
2014-10-07 23:27:00.000000,play_video,373.400096,,,,373.400096,
2014-10-07 23:27:29.000000,pause_video,401.670368,,,,401.670368,
2014-10-07 23:27:41.000000,seek_video,,,,401.670368,,onSlideSeek
2014-10-07 23:27:41.000000,pause_video,385,,,,385,
2014-10-07 23:27:51.000000,play_video,385,,,,385,
2014-10-07 23:29:52.000000,pause_video,504.733696,,,,504.733696,
2014-10-16 07:29:36.000000,load_video,None,,,,None,
2014-10-16 07:33:13.000000,play_video,504,,,,504,
2014-10-16 07:33:15.000000,seek_video,,,,506.263945,,onSlideSeek
2014-10-16 07:33:15.000000,play_video,506.263945,,,,506.263945,
2014-10-16 07:34:12.000000,pause_video,64.92526,,,,64.92526,
2014-10-16 07:34:14.000000,play_video,64.92526,,,,64.92526,
2014-10-16 07:38:56.000000,seek_video,,,,346.339488,,onSlideSeek
2014-10-16 07:38:56.000000,play_video,346.339488,,,,346.339488,
2014-10-16 07:38:56.000000,seek_video,,,,355.522448,,onSlideSeek
2014-10-16 07:38:57.000000,play_video,355.522448,,,,355.522448,
2014-10-16 07:39:11.000000,seek_video,,,,391.524082,,onSlideSeek
2014-10-16 07:39:12.000000,play_video,391.524082,,,,391.524082,
2014-10-16 07:39:17.000000,pause_video,407.0039,,,,407.0039,
2014-10-16 07:39:19.000000,seek_video,,,,407.0039,,onSlideSeek
2014-10-16 07:39:19.000000,pause_video,407,,,,407,
2014-10-16 07:39:20.000000,seek_video,,,,407,,onSlideSeek
2014-10-16 07:39:21.000000,play_video,396,,,,396,
2014-10-16 07:39:39.000000,seek_video,,,,413.867756,,onSlideSeek
2014-10-16 07:39:39.000000,play_video,413.867756,,,,413.867756,
2014-10-16 07:39:41.000000,seek_video,,,,401.078186,,onSlideSeek
2014-10-16 07:39:42.000000,play_video,401.078186,,,,401.078186,
2014-10-16 07:40:04.000000,seek_video,,,,411.931246,,onSlideSeek
2014-10-16 07:40:04.000000,play_video,411.931246,,,,411.931246,
2014-10-16 07:42:52.000000,pause_video,559.590032,,,,559.590032,
2014-10-16 07:44:11.000000,play_video,559.590032,,,,559.590032,
2014-10-16 07:46:18.000000,pause_video,686.858592,,,,686.858592,
2014-10-16 07:51:45.000000,play_video,686.858592,,,,686.858592,
2014-10-16 07:52:08.000000,pause_video,709.939232,,,,709.939232,
2014-10-16 07:55:53.000000,seek_video,,,,709.939232,,onSlideSeek
2014-10-16 07:55:54.000000,pause_video,532,,,,532,
2014-10-16 07:56:49.000000,play_video,532,,,,532,
