wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-12-07 22:48:43.000000,load_video,None,,,,None,
2014-12-07 22:48:44.000000,play_video,0,,,,0,
2014-12-07 22:51:17.000000,seek_video,,,,305.611977,,onSlideSeek
2014-12-07 22:51:17.000000,play_video,305.611977,,,,305.611977,
2014-12-07 22:51:18.000000,seek_video,,,,245.018575,,onSlideSeek
2014-12-07 22:51:19.000000,play_video,245.018575,,,,245.018575,
2014-12-07 22:51:20.000000,seek_video,,,,211.433403,,onSlideSeek
2014-12-07 22:51:20.000000,play_video,211.433403,,,,211.433403,
2014-12-07 22:52:26.000000,seek_video,,,,301.094214,,onSlideSeek
2014-12-07 22:52:26.000000,play_video,301.094214,,,,301.094214,
2014-12-07 22:54:39.000000,seek_video,,,,499.906631,,onSlideSeek
2014-12-07 22:54:40.000000,play_video,499.906631,,,,499.906631,
2014-12-07 22:57:34.000000,pause_video,822.242978,,,,822.242978,
2014-12-07 22:57:34.000000,stop_video,822.242978,,,,822.242978,
