wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-10-24 16:56:18.000000,load_video,None,,,,None,
2014-12-10 23:35:37.000000,load_video,None,,,,None,
2015-03-10 19:44:42.000000,load_video,None,,,,None,
2015-03-10 19:44:58.000000,load_video,None,,,,None,
2015-03-10 19:45:20.000000,play_video,0,,,,0,
2015-03-10 19:49:37.000000,speed_change_video,None,1.25,1.0,,None,
2015-03-10 19:52:38.000000,pause_video,481.871034,,,,481.871034,
2015-03-10 19:53:21.000000,play_video,481.871034,,,,481.871034,
2015-03-10 19:58:03.000000,pause_video,833.932187,,,,833.932187,
2015-03-10 19:58:03.000000,stop_video,833.932187,,,,833.932187,
