wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2015-03-10 23:36:59.000000,load_video,None,,,,None,
2015-03-11 01:12:26.000000,load_video,None,,,,None,
2015-03-11 01:12:28.000000,play_video,0,,,,0,
2015-03-11 01:13:43.000000,seek_video,,,,74.578894,,onSlideSeek
2015-03-11 01:13:43.000000,play_video,74.578894,,,,74.578894,
2015-03-11 01:13:44.000000,seek_video,,,,66.556712,,onSlideSeek
2015-03-11 01:13:44.000000,play_video,66.556712,,,,66.556712,
2015-03-11 01:13:45.000000,seek_video,,,,59.463836,,onSlideSeek
2015-03-11 01:13:45.000000,play_video,59.719245,,,,59.719245,
2015-03-11 01:13:46.000000,seek_video,,,,51.510274,,onSlideSeek
2015-03-11 01:13:46.000000,play_video,51.765683,,,,51.765683,
2015-03-11 01:13:48.000000,pause_video,62.7641,,,,62.7641,
2015-03-11 01:13:57.000000,play_video,62.7641,,,,62.7641,
2015-03-11 01:13:59.000000,seek_video,,,,65.248533,,onSlideSeek
2015-03-11 01:13:59.000000,play_video,65.248533,,,,65.248533,
2015-03-11 01:19:15.000000,pause_video,384.058117,,,,384.058117,
2015-03-11 01:19:15.000000,stop_video,384.058117,,,,384.058117,
