wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-12-09 14:26:36.000000,load_video,None,,,,None,
2014-12-09 14:26:42.000000,load_video,None,,,,None,
2014-12-09 14:26:43.000000,play_video,0,,,,0,
2014-12-09 14:33:13.000000,pause_video,389.781,,,,389.781,
2014-12-09 14:33:18.000000,play_video,389.781,,,,389.781,
2014-12-09 14:33:19.000000,pause_video,390.782,,,,390.782,
2014-12-09 14:33:23.000000,play_video,390.782,,,,390.782,
2014-12-09 14:36:25.000000,pause_video,572.381,,,,572.381,
2014-12-10 14:32:53.000000,load_video,None,,,,None,
2014-12-10 14:44:54.000000,load_video,None,,,,None,
2014-12-10 14:44:58.000000,play_video,572,,,,572,
2014-12-10 14:45:01.000000,seek_video,,,,575.321,,onSlideSeek
2014-12-10 14:45:02.000000,play_video,2,,,,2,
2014-12-10 14:45:28.000000,pause_video,27.581,,,,27.581,
2014-12-10 14:47:19.000000,play_video,27.581,,,,27.581,
2014-12-10 14:50:24.000000,pause_video,212.24,,,,212.24,
2014-12-10 14:50:42.000000,play_video,212.24,,,,212.24,
2014-12-10 14:54:16.000000,seek_video,,,,425.881,,onSlideSeek
2014-12-10 14:54:16.000000,play_video,426.141,,,,426.141,
2014-12-10 14:54:19.000000,seek_video,,,,417.061,,onSlideSeek
2014-12-10 14:54:19.000000,play_video,417.321,,,,417.321,
2014-12-10 14:57:49.000000,pause_video,614.761,,,,614.761,
2014-12-10 15:10:42.000000,play_video,614.761,,,,614.761,
2014-12-10 15:12:08.000000,pause_video,700.921,,,,700.921,
2014-12-10 15:20:10.000000,play_video,700.921,,,,700.921,
2014-12-10 15:20:43.000000,pause_video,734.141,,,,734.141,
2014-12-10 15:20:50.000000,play_video,734.141,,,,734.141,
2014-12-10 15:20:56.000000,pause_video,739.981,,,,739.981,
2014-12-10 15:21:07.000000,play_video,739.981,,,,739.981,
2014-12-10 15:23:09.000000,pause_video,861.781,,,,861.781,
2014-12-10 15:23:09.000000,stop_video,861.781,,,,861.781,
2014-12-10 15:23:23.000000,load_video,None,,,,None,
