wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-10-22 06:31:09.000000,load_video,None,,,,None,
2014-10-22 06:31:11.000000,play_video,0,,,,0,
2014-10-22 06:32:30.000000,pause_video,78.665661,,,,78.665661,
2014-10-22 06:32:32.000000,play_video,78.665661,,,,78.665661,
2014-10-22 06:32:44.000000,pause_video,90.715167,,,,90.715167,
2014-10-22 06:32:56.000000,play_video,90.715167,,,,90.715167,
2014-10-22 06:34:31.000000,pause_video,185.456898,,,,185.456898,
2014-10-22 06:34:54.000000,play_video,185.456898,,,,185.456898,
2014-10-22 06:35:10.000000,pause_video,201.84226,,,,201.84226,
2014-10-22 06:35:10.000000,stop_video,201.84226,,,,201.84226,
