wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-10-19 20:25:40.000000,load_video,None,,,,None,
2014-10-19 20:25:45.000000,play_video,0,,,,0,
2014-10-19 20:25:46.000000,play_video,0,,,,0,
2014-10-19 20:26:52.000000,pause_video,65.262748,,,,65.262748,
2014-10-19 20:27:46.000000,play_video,65.262748,,,,65.262748,
2014-10-19 20:28:45.000000,pause_video,124.196072,,,,124.196072,
2014-10-19 20:28:48.000000,play_video,124.196072,,,,124.196072,
2014-10-19 20:29:15.000000,pause_video,150.798752,,,,150.798752,
2014-10-19 20:29:15.000000,play_video,150.798752,,,,150.798752,
2014-10-19 20:29:16.000000,pause_video,151.726784,,,,151.726784,
