wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-10-01 02:32:41.000000,load_video,None,,,,None,
2014-10-01 02:32:44.000000,play_video,0,,,,0,
2014-10-01 02:32:46.000000,speed_change_video,None,1.0,2.0,,None,
2014-10-01 02:32:48.000000,speed_change_video,None,2.0,1.0,,None,
2014-10-01 02:33:26.000000,pause_video,78.4452514648,,,,78.4452514648,
2014-10-01 02:33:52.000000,play_video,78.4452514648,,,,78.4452514648,
2014-10-01 02:34:11.000000,pause_video,117.257492065,,,,117.257492065,
2014-10-01 02:34:43.000000,play_video,117.257492065,,,,117.257492065,
2014-10-01 02:35:55.000000,pause_video,239.359329224,,,,239.359329224,
2014-10-01 02:36:23.000000,play_video,239.359329224,,,,239.359329224,
2014-10-01 02:36:48.000000,pause_video,289.376220703,,,,289.376220703,
2014-10-01 02:37:12.000000,play_video,289.376220703,,,,289.376220703,
2014-10-01 02:38:03.000000,pause_video,390.849121094,,,,390.849121094,
2014-10-01 02:38:58.000000,play_video,390.849121094,,,,390.849121094,
2014-10-01 02:39:25.000000,pause_video,444.55670166,,,,444.55670166,
2014-10-01 02:39:44.000000,play_video,444.55670166,,,,444.55670166,
2014-10-01 02:40:03.000000,pause_video,481.419586182,,,,481.419586182,
2014-10-01 02:40:03.000000,stop_video,481.419586182,,,,481.419586182,
