wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-12-07 22:31:52.000000,load_video,None,,,,None,
2014-12-07 22:36:17.000000,play_video,0,,,,0,
2014-12-07 22:37:23.000000,seek_video,,,,131.162,,onSlideSeek
2014-12-07 22:37:23.000000,play_video,131.162,,,,131.162,
2014-12-07 22:40:19.000000,pause_video,349.884,,,,349.884,
2014-12-07 22:40:34.000000,play_video,349.884,,,,349.884,
2014-12-07 22:41:18.000000,pause_video,437.204,,,,437.204,
2014-12-07 22:41:27.000000,play_video,437.204,,,,437.204,
2014-12-07 22:42:47.000000,seek_video,,,,598.244,,onSlideSeek
2014-12-07 22:42:48.000000,play_video,598.244,,,,598.244,
2014-12-07 22:42:48.000000,seek_video,,,,595,,onSlideSeek
2014-12-07 22:42:48.000000,play_video,595,,,,595,
2014-12-07 22:42:48.000000,seek_video,,,,593,,onSlideSeek
2014-12-07 22:42:49.000000,play_video,593,,,,593,
2014-12-07 22:42:49.000000,seek_video,,,,590,,onSlideSeek
2014-12-07 22:42:49.000000,play_video,590,,,,590,
2014-12-07 22:42:49.000000,seek_video,,,,587.602,,onSlideSeek
2014-12-07 22:42:50.000000,play_video,587.602,,,,587.602,
2014-12-07 22:43:51.000000,seek_video,,,,687.684,,onSlideSeek
2014-12-07 22:43:51.000000,play_video,687.684,,,,687.684,
2014-12-07 22:43:51.000000,seek_video,,,,687,,onSlideSeek
2014-12-07 22:43:51.000000,play_video,687,,,,687,
2014-12-07 22:43:52.000000,seek_video,,,,670.524,,onSlideSeek
2014-12-07 22:43:52.000000,play_video,670.524,,,,670.524,
2014-12-07 22:43:53.000000,seek_video,,,,670.362,,onSlideSeek
2014-12-07 22:43:53.000000,play_video,670.362,,,,670.362,
2014-12-07 22:43:53.000000,seek_video,,,,670,,onSlideSeek
2014-12-07 22:43:53.000000,play_video,670,,,,670,
2014-12-07 22:44:51.000000,seek_video,,,,766.642,,onSlideSeek
2014-12-07 22:44:51.000000,play_video,766.642,,,,766.642,
2014-12-07 22:44:52.000000,seek_video,,,,764.604,,onSlideSeek
2014-12-07 22:44:52.000000,play_video,764.604,,,,764.604,
2014-12-07 22:44:52.000000,seek_video,,,,762,,onSlideSeek
2014-12-07 22:44:53.000000,play_video,762,,,,762,
2014-12-07 22:44:53.000000,seek_video,,,,757.884,,onSlideSeek
2014-12-07 22:44:53.000000,play_video,757.884,,,,757.884,
2014-12-07 22:44:55.000000,pause_video,753.082,,,,753.082,
2014-12-07 22:45:04.000000,play_video,753.082,,,,753.082,
2014-12-07 22:45:38.000000,pause_video,821.964,,,,821.964,
2014-12-07 22:45:38.000000,stop_video,821.964,,,,821.964,
2014-12-08 02:35:20.000000,load_video,None,,,,None,
