wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-11-11 05:04:38.000000,load_video,None,,,,None,
2014-11-11 05:04:43.000000,play_video,0,,,,0,
2014-11-11 05:04:45.000000,speed_change_video,None,1.50,1.25,,None,
2014-11-11 05:07:47.000000,pause_video,274.434326172,,,,274.434326172,
2014-11-11 05:59:15.000000,play_video,274.434326172,,,,274.434326172,
2014-11-11 05:59:53.000000,pause_video,331.179382324,,,,331.179382324,
2014-11-11 06:40:06.000000,play_video,331.179382324,,,,331.179382324,
2014-11-11 06:40:44.000000,pause_video,388.832519531,,,,388.832519531,
2014-11-11 07:11:49.000000,play_video,388.832519531,,,,388.832519531,
2014-11-11 07:20:46.000000,pause_video,1194.98071289,,,,1194.98071289,
2014-11-11 07:20:46.000000,stop_video,1194.98071289,,,,1194.98071289,
2014-12-01 03:06:10.000000,load_video,None,,,,None,
2014-12-01 03:06:16.000000,seek_video,,,,1194,,onSlideSeek
2014-12-01 03:06:18.000000,seek_video,,,,29,,onSlideSeek
2014-12-01 03:06:25.000000,load_video,None,,,,None,
2014-12-01 03:07:31.000000,seek_video,,,,1194,,onSlideSeek
2014-12-01 03:07:34.000000,play_video,22,,,,22,
2014-12-01 03:07:34.000000,speed_change_video,None,1.25,1.50,,None,
2014-12-01 03:07:35.000000,speed_change_video,None,1.50,1.25,,None,
2014-12-01 03:12:55.000000,pause_video,503.2940979,,,,503.2940979,
2014-12-01 03:13:45.000000,play_video,503.2940979,,,,503.2940979,
2014-12-01 03:14:31.000000,seek_video,,,,573.456237793,,onSlideSeek
2014-12-01 03:14:32.000000,pause_video,573.456237793,,,,573.456237793,
2014-12-01 03:15:06.000000,play_video,573.456237793,,,,573.456237793,
2014-12-01 03:15:42.000000,pause_video,609.633789062,,,,609.633789062,
2014-12-01 03:17:21.000000,play_video,609.633789062,,,,609.633789062,
2014-12-01 03:19:13.000000,pause_video,778.030822754,,,,778.030822754,
2014-12-01 03:21:09.000000,play_video,778.030822754,,,,778.030822754,
2014-12-01 03:22:55.000000,seek_video,,,,937.495849609,,onSlideSeek
2014-12-01 03:22:57.000000,pause_video,937.495849609,,,,937.495849609,
2014-12-01 03:23:00.000000,seek_video,,,,937.495849609,,onSlideSeek
2014-12-01 03:23:00.000000,seek_video,,,,989,,onSlideSeek
2014-12-01 03:23:01.000000,seek_video,,,,958,,onSlideSeek
2014-12-01 03:23:02.000000,seek_video,,,,944,,onSlideSeek
2014-12-01 03:23:02.000000,play_video,936,,,,936,
2014-12-01 03:25:55.000000,pause_video,1195.18005371,,,,1195.18005371,
2014-12-01 03:25:56.000000,stop_video,1195.18005371,,,,1195.18005371,
2014-12-01 19:19:39.000000,load_video,None,,,,None,
