wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2015-05-26 01:10:17.000000,load_video,None,,,,None,
2015-05-26 01:10:18.000000,play_video,0,,,,0,
2015-05-26 01:10:31.000000,pause_video,18.840178,,,,18.840178,
2015-05-26 01:10:47.000000,play_video,18.840178,,,,18.840178,
2015-05-26 01:11:14.000000,pause_video,60.600153,,,,60.600153,
2015-05-26 01:12:51.000000,play_video,60.600153,,,,60.600153,
2015-05-26 01:12:51.000000,seek_video,,,,67.356983,,onSlideSeek
2015-05-26 01:12:51.000000,play_video,67.356983,,,,67.356983,
2015-05-26 01:12:54.000000,pause_video,58.117551,,,,58.117551,
2015-05-26 01:14:11.000000,play_video,58.117551,,,,58.117551,
2015-05-26 01:14:42.000000,pause_video,105.380508,,,,105.380508,
2015-05-26 01:15:08.000000,play_video,105.380508,,,,105.380508,
2015-05-26 01:15:09.000000,stop_video,105.800771,,,,105.800771,
