wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-10-01 06:13:26.000000,load_video,None,,,,None,
2014-10-01 06:57:39.000000,load_video,None,,,,None,
2014-10-01 06:57:43.000000,play_video,0,,,,0,
2014-10-01 06:57:50.000000,pause_video,8.931565,,,,8.931565,
2014-10-01 06:57:54.000000,play_video,8.931565,,,,8.931565,
2014-10-01 06:58:32.000000,pause_video,66.882734,,,,66.882734,
2014-10-01 07:25:28.000000,play_video,66.882734,,,,66.882734,
2014-10-01 07:26:34.000000,pause_video,166.527511,,,,166.527511,
2014-10-01 07:33:08.000000,play_video,166.527511,,,,166.527511,
2014-10-01 07:33:17.000000,pause_video,180.189537,,,,180.189537,
2014-10-01 07:35:02.000000,play_video,180.189537,,,,180.189537,
2014-10-01 07:36:15.000000,pause_video,289.770263,,,,289.770263,
2014-10-01 07:37:27.000000,play_video,289.770263,,,,289.770263,
2014-10-01 07:39:17.000000,pause_video,455.273443,,,,455.273443,
2014-10-01 07:39:33.000000,play_video,455.273443,,,,455.273443,
2014-10-01 07:39:39.000000,pause_video,463.934577,,,,463.934577,
2014-10-01 07:42:03.000000,play_video,463.934577,,,,463.934577,
2014-10-01 07:43:34.000000,pause_video,599.603032,,,,599.603032,
2014-10-01 07:43:39.000000,seek_video,,,,599.603032,,onSlideSeek
2014-10-01 07:43:40.000000,play_video,585,,,,585,
2014-10-01 07:43:40.000000,pause_video,585.693562,,,,585.693562,
2014-10-01 07:43:43.000000,play_video,585.693562,,,,585.693562,
2014-10-01 07:43:44.000000,pause_video,587.549451,,,,587.549451,
2014-10-01 07:43:48.000000,play_video,587.549451,,,,587.549451,
2014-10-01 07:48:03.000000,pause_video,969.809674,,,,969.809674,
2014-10-01 07:48:31.000000,play_video,969.809674,,,,969.809674,
2014-10-01 07:52:49.000000,pause_video,1356.84229,,,,1356.84229,
2014-10-01 07:53:30.000000,play_video,1356.84229,,,,1356.84229,
2014-10-01 07:53:41.000000,pause_video,1373.005271,,,,1373.005271,
2014-10-01 07:53:58.000000,play_video,1373.005271,,,,1373.005271,
2014-10-01 07:55:34.000000,pause_video,1517.481587,,,,1517.481587,
2014-10-01 07:55:34.000000,stop_video,1517.481587,,,,1517.481587,
2014-10-05 03:56:39.000000,load_video,None,,,,None,
2014-10-05 04:02:25.000000,play_video,0,,,,0,
2014-10-05 04:02:32.000000,speed_change_video,None,1.25,1.50,,None,
2014-10-05 04:05:31.000000,pause_video,233.642854,,,,233.642854,
2014-10-05 04:06:22.000000,play_video,233.642854,,,,233.642854,
2014-10-05 04:06:43.000000,pause_video,260.173593,,,,260.173593,
2014-10-05 04:06:51.000000,play_video,260.173593,,,,260.173593,
2014-10-05 04:07:06.000000,pause_video,279.406522,,,,279.406522,
2014-10-05 04:07:12.000000,play_video,279.406522,,,,279.406522,
2014-10-05 04:08:20.000000,pause_video,364.990496,,,,364.990496,
2014-10-05 04:09:06.000000,play_video,364.990496,,,,364.990496,
2014-10-05 04:14:04.000000,seek_video,,,,737.530066,,onSlideSeek
2014-10-05 04:14:04.000000,play_video,737.530066,,,,737.530066,
2014-10-05 04:14:06.000000,seek_video,,,,692.805479,,onSlideSeek
2014-10-05 04:14:06.000000,play_video,692.805479,,,,692.805479,
2014-10-05 04:14:07.000000,pause_video,729.342597,,,,729.342597,
2014-10-05 05:53:51.000000,play_video,729.342597,,,,729.342597,
2014-10-05 05:55:22.000000,pause_video,844.543749,,,,844.543749,
2014-10-05 06:03:33.000000,load_video,None,,,,None,
2014-10-05 06:03:37.000000,play_video,844,,,,844,
2014-10-05 06:03:55.000000,pause_video,865.280833,,,,865.280833,
2014-10-05 06:03:57.000000,play_video,865.280833,,,,865.280833,
2014-10-05 06:04:07.000000,pause_video,878.190167,,,,878.190167,
2014-10-05 06:04:25.000000,play_video,878.190167,,,,878.190167,
2014-10-05 06:05:05.000000,pause_video,927.651295,,,,927.651295,
2014-10-05 06:05:57.000000,play_video,927.651295,,,,927.651295,
2014-10-05 06:06:06.000000,pause_video,938.624028,,,,938.624028,
2014-10-05 06:06:11.000000,play_video,938.624028,,,,938.624028,
2014-10-05 06:09:14.000000,pause_video,1167.032059,,,,1167.032059,
2014-10-05 06:09:32.000000,play_video,1167.032059,,,,1167.032059,
2014-10-05 06:11:14.000000,pause_video,1295.375184,,,,1295.375184,
2014-10-05 06:12:57.000000,play_video,1295.375184,,,,1295.375184,
2014-10-05 06:13:42.000000,pause_video,1351.245896,,,,1351.245896,
2014-10-05 06:13:44.000000,play_video,1351.245896,,,,1351.245896,
2014-10-05 06:13:46.000000,pause_video,1353.415182,,,,1353.415182,
2014-10-05 07:15:50.000000,seek_video,,,,1353.415182,,onSlideSeek
2014-10-05 07:15:50.000000,seek_video,,,,323,,onSlideSeek
2014-10-05 07:15:50.000000,seek_video,,,,402,,onSlideSeek
2014-10-05 07:15:50.000000,pause_video,458,,,,458,
2014-10-05 07:15:52.000000,seek_video,,,,458,,onSlideSeek
2014-10-05 07:15:52.000000,seek_video,,,,548,,onSlideSeek
2014-10-05 07:15:53.000000,seek_video,,,,632,,onSlideSeek
2014-10-05 07:15:53.000000,pause_video,694,,,,694,
2014-10-05 07:15:53.000000,seek_video,,,,694,,onSlideSeek
2014-10-05 07:15:54.000000,seek_video,,,,761,,onSlideSeek
2014-10-05 07:15:54.000000,seek_video,,,,854,,onSlideSeek
2014-10-05 07:15:55.000000,seek_video,,,,916,,onSlideSeek
2014-10-05 07:15:55.000000,pause_video,854,,,,854,
2014-10-05 07:19:31.000000,seek_video,,,,952,,onSlideSeek
2014-10-05 07:19:32.000000,pause_video,275,,,,275,
2014-10-05 07:19:32.000000,seek_video,,,,275,,onSlideSeek
2014-10-05 07:19:33.000000,seek_video,,,,362,,onSlideSeek
2014-10-05 07:19:33.000000,seek_video,,,,430,,onSlideSeek
2014-10-05 07:19:34.000000,seek_video,,,,494,,onSlideSeek
2014-10-05 07:19:34.000000,pause_video,354,,,,354,
2014-10-05 07:19:37.000000,seek_video,,,,354,,onSlideSeek
2014-10-05 07:19:41.000000,seek_video,,,,424,,onSlideSeek
2014-10-05 07:19:55.000000,seek_video,,,,348,,onSlideSeek
2014-10-05 07:19:57.000000,pause_video,405,,,,405,
2014-10-05 07:20:03.000000,seek_video,,,,405,,onSlideSeek
2014-10-05 07:36:16.000000,seek_video,,,,475,,onSlideSeek
2014-10-05 07:36:19.000000,seek_video,,,,539,,onSlideSeek
2014-10-05 07:36:22.000000,seek_video,,,,638,,onSlideSeek
