wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-11-08 23:54:35.000000,load_video,None,,,,None,
2014-11-11 08:43:27.000000,load_video,None,,,,None,
2014-11-11 08:46:52.000000,play_video,0,,,,0,
2014-11-11 08:48:04.000000,pause_video,106.312058,,,,106.312058,
2014-11-11 08:48:50.000000,play_video,106.312058,,,,106.312058,
2014-11-11 08:50:53.000000,pause_video,291.17713,,,,291.17713,
2014-11-11 08:51:11.000000,seek_video,,,,291.17713,,onSlideSeek
2014-11-11 08:51:28.000000,play_video,262,,,,262,
2014-11-11 08:53:45.000000,pause_video,466.6018,,,,466.6018,
2014-11-11 08:54:49.000000,seek_video,,,,466.6018,,onSlideSeek
2014-11-11 08:54:53.000000,play_video,458,,,,458,
2014-11-11 08:54:57.000000,pause_video,463.043356,,,,463.043356,
2014-11-11 08:55:00.000000,play_video,463.043356,,,,463.043356,
2014-11-11 08:59:14.000000,pause_video,844.287115,,,,844.287115,
2014-11-11 08:59:14.000000,stop_video,844.287115,,,,844.287115,
2014-11-11 08:59:49.000000,seek_video,,,,844.287115,,onSlideSeek
2014-11-11 08:59:49.000000,play_video,842,,,,842,
2014-11-11 08:59:51.000000,pause_video,844.457257,,,,844.457257,
2014-11-11 08:59:51.000000,stop_video,844.457257,,,,844.457257,
2014-11-12 10:17:32.000000,load_video,None,,,,None,
