wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-11-25 09:12:56.000000,load_video,None,,,,None,
2014-12-09 00:49:27.000000,load_video,None,,,,None,
2014-12-09 01:11:55.000000,load_video,None,,,,None,
2014-12-09 01:14:32.000000,play_video,0,,,,0,
2014-12-09 01:18:35.000000,stop_video,484.401659,,,,484.401659,
2014-12-09 01:18:35.000000,pause_video,484.401659,,,,484.401659,
2014-12-09 01:28:25.000000,play_video,484.401659,,,,484.401659,
2014-12-09 01:28:29.000000,seek_video,,,,7.277462,,onSlideSeek
2014-12-09 01:28:29.000000,play_video,7.277462,,,,7.277462,
2014-12-09 01:28:31.000000,seek_video,,,,415.008833,,onSlideSeek
2014-12-09 01:28:31.000000,play_video,415.008833,,,,415.008833,
2014-12-09 01:28:56.000000,pause_video,484.618308,,,,484.618308,
2014-12-09 01:28:56.000000,stop_video,484.618308,,,,484.618308,
2014-12-09 01:35:33.000000,load_video,None,,,,None,
2014-12-09 01:35:36.000000,play_video,0,,,,0,
2014-12-09 01:35:38.000000,seek_video,,,,2.277416,,onSlideSeek
2014-12-09 01:35:39.000000,play_video,2.277416,,,,2.277416,
2014-12-09 01:35:41.000000,seek_video,,,,375.187224,,onSlideSeek
2014-12-09 01:35:42.000000,play_video,375.187224,,,,375.187224,
