wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-10-05 23:42:03.000000,load_video,None,,,,None,
2014-10-05 23:42:35.000000,play_video,0,,,,0,
2014-10-05 23:46:38.000000,pause_video,303.076492,,,,303.076492,
2014-10-05 23:46:42.000000,play_video,303.076492,,,,303.076492,
2014-10-05 23:51:22.000000,pause_video,652.795792,,,,652.795792,
2014-10-05 23:51:45.000000,play_video,652.795792,,,,652.795792,
2014-10-05 23:56:55.000000,pause_video,1038.694506,,,,1038.694506,
2014-10-05 23:57:03.000000,play_video,1038.694506,,,,1038.694506,
2014-10-05 23:58:16.000000,pause_video,1130.014341,,,,1130.014341,
2014-10-05 23:58:26.000000,play_video,1130.014341,,,,1130.014341,
2014-10-05 23:59:33.000000,pause_video,1213.463522,,,,1213.463522,
2014-10-05 23:59:33.000000,stop_video,1213.463522,,,,1213.463522,
2014-10-05 23:59:36.000000,play_video,1213.463522,,,,1213.463522,
2014-11-21 22:40:09.000000,load_video,None,,,,None,
