wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-10-22 03:35:08.000000,load_video,None,,,,None,
2014-10-22 03:35:11.000000,play_video,0,,,,0,
2014-10-22 03:35:13.000000,pause_video,2.201821,,,,2.201821,
2014-10-22 03:37:58.000000,load_video,None,,,,None,
2014-10-22 03:38:00.000000,play_video,2,,,,2,
2014-10-22 03:39:06.000000,seek_video,,,,100.701871,,onSlideSeek
2014-10-22 03:39:06.000000,play_video,100.701871,,,,100.701871,
2014-10-22 03:39:08.000000,seek_video,,,,134.315141,,onSlideSeek
2014-10-22 03:39:08.000000,play_video,134.315141,,,,134.315141,
2014-10-22 03:39:10.000000,seek_video,,,,183.71382,,onSlideSeek
2014-10-22 03:39:10.000000,play_video,183.71382,,,,183.71382,
2014-10-22 03:39:17.000000,seek_video,,,,225.26191,,onSlideSeek
2014-10-22 03:39:17.000000,play_video,225.26191,,,,225.26191,
2014-10-22 03:39:34.000000,seek_video,,,,286.666283,,onSlideSeek
2014-10-22 03:39:34.000000,play_video,286.666283,,,,286.666283,
2014-10-22 03:39:39.000000,seek_video,,,,319.4988,,onSlideSeek
2014-10-22 03:39:39.000000,play_video,319.4988,,,,319.4988,
2014-10-22 03:39:45.000000,seek_video,,,,363.547494,,onSlideSeek
2014-10-22 03:39:45.000000,play_video,363.547494,,,,363.547494,
2014-10-22 03:40:02.000000,seek_video,,,,404.516565,,onSlideSeek
2014-10-22 03:40:02.000000,play_video,404.516565,,,,404.516565,
2014-10-22 03:40:03.000000,seek_video,,,,438.65131,,onSlideSeek
2014-10-22 03:40:04.000000,play_video,438.65131,,,,438.65131,
2014-10-22 03:40:05.000000,seek_video,,,,477.136165,,onSlideSeek
2014-10-22 03:40:05.000000,play_video,477.136165,,,,477.136165,
2014-10-22 03:40:06.000000,seek_video,,,,518.584064,,onSlideSeek
2014-10-22 03:40:06.000000,play_video,518.584064,,,,518.584064,
2014-10-22 03:40:08.000000,seek_video,,,,564.955604,,onSlideSeek
2014-10-22 03:40:08.000000,play_video,564.955604,,,,564.955604,
2014-10-22 03:40:10.000000,seek_video,,,,602.363301,,onSlideSeek
2014-10-22 03:40:10.000000,play_video,602.363301,,,,602.363301,
2014-10-22 03:40:11.000000,seek_video,,,,654.463557,,onSlideSeek
2014-10-22 03:40:11.000000,play_video,654.463557,,,,654.463557,
2014-10-22 03:40:13.000000,seek_video,,,,688.668533,,onSlideSeek
2014-10-22 03:40:13.000000,play_video,688.668533,,,,688.668533,
2014-10-22 03:40:16.000000,pause_video,710.198604,,,,710.198604,
2014-10-22 03:40:16.000000,stop_video,710.198604,,,,710.198604,
2014-10-22 04:58:04.000000,load_video,None,,,,None,
2014-10-22 04:58:05.000000,play_video,0,,,,0,
2014-10-22 04:58:08.000000,seek_video,,,,2.911088,,onSlideSeek
2014-10-22 04:58:08.000000,play_video,2.911088,,,,2.911088,
2014-10-22 04:58:11.000000,seek_video,,,,46.474874,,onSlideSeek
2014-10-22 04:58:12.000000,play_video,46.474874,,,,46.474874,
2014-10-22 04:58:16.000000,seek_video,,,,75.717547,,onSlideSeek
2014-10-22 04:58:16.000000,play_video,75.717547,,,,75.717547,
2014-10-22 04:58:18.000000,seek_video,,,,112.036686,,onSlideSeek
2014-10-22 04:58:18.000000,play_video,112.036686,,,,112.036686,
2014-10-22 04:58:19.000000,seek_video,,,,133.096807,,onSlideSeek
2014-10-22 04:58:19.000000,play_video,133.096807,,,,133.096807,
2014-10-22 04:58:20.000000,seek_video,,,,159.279382,,onSlideSeek
2014-10-22 04:58:20.000000,play_video,159.279382,,,,159.279382,
2014-10-22 04:58:22.000000,seek_video,,,,199.278208,,onSlideSeek
2014-10-22 04:58:22.000000,play_video,199.278208,,,,199.278208,
2014-10-22 04:58:23.000000,seek_video,,,,222.172839,,onSlideSeek
2014-10-22 04:58:23.000000,play_video,222.172839,,,,222.172839,
2014-10-22 04:58:24.000000,seek_video,,,,261.112712,,onSlideSeek
2014-10-22 04:58:24.000000,play_video,261.112712,,,,261.112712,
2014-10-22 04:58:24.000000,seek_video,,,,313.540422,,onSlideSeek
2014-10-22 04:58:25.000000,play_video,313.540422,,,,313.540422,
2014-10-22 04:58:32.000000,seek_video,,,,379.404667,,onSlideSeek
2014-10-22 04:58:33.000000,play_video,379.404667,,,,379.404667,
2014-10-22 04:58:42.000000,pause_video,410.631491,,,,410.631491,
2014-10-22 04:58:43.000000,play_video,410.631491,,,,410.631491,
2014-10-22 04:58:46.000000,pause_video,414.484429,,,,414.484429,
