wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-12-01 17:49:46.000000,load_video,None,,,,None,
2014-12-01 17:49:48.000000,play_video,0,,,,0,
2014-12-01 17:58:45.000000,seek_video,,,,535.009662,,onSlideSeek
2014-12-01 17:58:45.000000,play_video,535.009662,,,,535.009662,
2014-12-01 18:03:52.000000,pause_video,713.625993,,,,713.625993,
2014-12-01 18:03:52.000000,stop_video,713.625993,,,,713.625993,
2014-12-03 02:12:50.000000,load_video,None,,,,None,
2014-12-03 03:27:47.000000,play_video,0,,,,0,
2014-12-03 03:39:18.000000,seek_video,,,,691.73791,,onSlideSeek
2014-12-03 03:39:19.000000,play_video,691.73791,,,,691.73791,
2014-12-03 03:39:20.000000,seek_video,,,,646.41382,,onSlideSeek
2014-12-03 03:39:21.000000,play_video,646.41382,,,,646.41382,
2014-12-03 03:41:18.000000,pause_video,713.787448,,,,713.787448,
2014-12-03 03:41:19.000000,stop_video,713.787448,,,,713.787448,
