wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-10-20 15:14:31.000000,load_video,None,,,,None,
2014-11-03 08:46:30.000000,load_video,None,,,,None,
2014-11-11 05:35:08.000000,load_video,None,,,,None,
2014-11-11 05:38:02.000000,play_video,0,,,,0,
2014-11-11 05:42:14.000000,seek_video,,,,251.359424,,onSlideSeek
2014-11-11 05:42:15.000000,play_video,251.359424,,,,251.359424,
2014-11-11 07:46:25.000000,load_video,None,,,,None,
2014-11-11 07:46:27.000000,play_video,833,,,,833,
2014-11-11 07:46:40.000000,pause_video,844.900494,,,,844.900494,
2014-11-11 07:46:41.000000,stop_video,844.900494,,,,844.900494,
2014-11-11 07:46:47.000000,play_video,844.900494,,,,844.900494,
2014-11-11 07:46:47.000000,play_video,0,,,,0,
2014-11-11 08:00:52.000000,pause_video,844.708043,,,,844.708043,
2014-11-11 08:00:53.000000,stop_video,844.708043,,,,844.708043,
2014-11-11 19:55:58.000000,load_video,None,,,,None,
2014-12-01 16:48:38.000000,load_video,None,,,,None,
2014-12-11 00:50:11.000000,load_video,None,,,,None,
