wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-10-07 00:09:31.000000,load_video,None,,,,None,
2014-10-07 00:09:34.000000,play_video,0,,,,0,
2014-10-07 00:11:29.000000,pause_video,115.298765,,,,115.298765,
2014-10-07 00:12:46.000000,play_video,115.298765,,,,115.298765,
2014-10-07 00:21:24.000000,seek_video,,,,633.170412,,onSlideSeek
2014-10-07 00:21:24.000000,play_video,633.170412,,,,633.170412,
2014-10-07 00:21:31.000000,seek_video,,,,527.16888,,onSlideSeek
2014-10-07 00:21:31.000000,play_video,527.16888,,,,527.16888,
2014-10-07 00:21:34.000000,seek_video,,,,579.702407,,onSlideSeek
2014-10-07 00:21:35.000000,play_video,579.702407,,,,579.702407,
2014-10-07 00:21:35.000000,seek_video,,,,622.008322,,onSlideSeek
2014-10-07 00:21:36.000000,play_video,622.008322,,,,622.008322,
2014-10-07 00:21:37.000000,seek_video,,,,661.284532,,onSlideSeek
2014-10-07 00:21:37.000000,play_video,661.284532,,,,661.284532,
2014-10-07 00:21:40.000000,seek_video,,,,684.561539,,onSlideSeek
2014-10-07 00:21:40.000000,play_video,684.561539,,,,684.561539,
2014-10-07 00:23:01.000000,seek_video,,,,741.242964,,onSlideSeek
2014-10-07 00:23:01.000000,play_video,741.242964,,,,741.242964,
2014-10-07 00:24:23.000000,load_video,None,,,,None,
2014-10-07 00:24:27.000000,play_video,767.226119,,,,767.226119,
2014-10-07 00:24:34.000000,pause_video,774.217417,,,,774.217417,
2014-10-07 00:24:34.000000,stop_video,774.217417,,,,774.217417,
2014-10-07 01:30:35.000000,load_video,None,,,,None,
2014-10-07 01:30:38.000000,play_video,0,,,,0,
2014-10-07 06:49:38.000000,load_video,None,,,,None,
2014-10-07 06:49:42.000000,play_video,4,,,,4,
2014-10-07 06:54:42.000000,load_video,None,,,,None,
2014-10-07 06:54:45.000000,play_video,13,,,,13,
2014-10-07 06:54:47.000000,seek_video,,,,14.478187,,onSlideSeek
2014-10-07 06:54:47.000000,play_video,14.478187,,,,14.478187,
2014-10-07 06:54:49.000000,seek_video,,,,70.354823,,onSlideSeek
2014-10-07 06:54:49.000000,play_video,70.354823,,,,70.354823,
2014-10-07 06:54:51.000000,seek_video,,,,165.556615,,onSlideSeek
2014-10-07 06:54:51.000000,play_video,165.556615,,,,165.556615,
2014-10-07 06:54:53.000000,seek_video,,,,346.71175,,onSlideSeek
2014-10-07 06:54:53.000000,play_video,346.71175,,,,346.71175,
