wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-10-07 02:14:18.000000,load_video,None,,,,None,
2014-10-07 02:14:21.000000,play_video,0,,,,0,
2014-10-07 02:17:05.000000,pause_video,163.941461,,,,163.941461,
2014-10-07 02:26:27.000000,pause_video,264.828676,,,,264.828676,
2014-10-07 02:42:51.000000,load_video,None,,,,None,
2014-10-07 02:42:59.000000,load_video,None,,,,None,
2014-10-07 02:43:01.000000,play_video,264.828676,,,,264.828676,
2014-10-07 02:43:02.000000,pause_video,265.545202,,,,265.545202,
2014-10-07 02:43:02.000000,stop_video,265.545202,,,,265.545202,
2014-10-07 02:43:05.000000,seek_video,,,,265.545202,,onSlideSeek
2014-10-07 02:43:06.000000,play_video,0,,,,0,
2014-10-07 02:43:06.000000,pause_video,0.220486,,,,0.220486,
2014-10-07 02:43:06.000000,play_video,0.220486,,,,0.220486,
2014-10-07 02:43:43.000000,pause_video,36.50621,,,,36.50621,
2014-10-07 02:45:31.000000,play_video,36.50621,,,,36.50621,
2014-10-07 02:47:17.000000,seek_video,,,,143.351522,,onSlideSeek
2014-10-07 02:47:18.000000,play_video,143.351522,,,,143.351522,
2014-10-07 02:47:19.000000,seek_video,,,,124.806171,,onSlideSeek
2014-10-07 02:47:19.000000,play_video,124.806171,,,,124.806171,
2014-10-07 02:47:21.000000,seek_video,,,,109.566186,,onSlideSeek
2014-10-07 02:47:22.000000,play_video,109.566186,,,,109.566186,
2014-10-07 02:50:08.000000,pause_video,240.611643,,,,240.611643,
2014-10-07 02:50:18.000000,play_video,240.611643,,,,240.611643,
2014-10-07 02:50:22.000000,seek_video,,,,244.844304,,onSlideSeek
2014-10-07 02:50:22.000000,play_video,244.844304,,,,244.844304,
2014-10-07 02:51:10.000000,pause_video,264.216101,,,,264.216101,
2014-10-07 02:53:26.000000,play_video,264.216101,,,,264.216101,
2014-10-07 02:53:28.000000,seek_video,,,,265.296702,,onSlideSeek
2014-10-07 02:53:28.000000,play_video,265.296702,,,,265.296702,
2014-10-07 02:56:48.000000,pause_video,203.500872,,,,203.500872,
2014-10-07 02:56:54.000000,play_video,203.500872,,,,203.500872,
2014-10-07 02:56:58.000000,seek_video,,,,207.279207,,onSlideSeek
2014-10-07 02:56:58.000000,play_video,207.279207,,,,207.279207,
2014-10-07 02:57:03.000000,seek_video,,,,204.69025,,onSlideSeek
2014-10-07 02:57:03.000000,play_video,204.69025,,,,204.69025,
2014-10-07 02:57:31.000000,pause_video,221.274746,,,,221.274746,
2014-10-07 02:57:40.000000,play_video,221.274746,,,,221.274746,
2014-10-07 02:57:53.000000,pause_video,233.832335,,,,233.832335,
2014-10-07 02:58:01.000000,play_video,233.832335,,,,233.832335,
2014-10-07 02:58:06.000000,pause_video,238.598182,,,,238.598182,
2014-10-07 02:58:34.000000,play_video,238.598182,,,,238.598182,
2014-10-07 07:21:46.000000,load_video,None,,,,None,
2014-10-07 07:21:48.000000,play_video,253,,,,253,
2014-10-07 07:21:52.000000,seek_video,,,,257.488637,,onSlideSeek
2014-10-07 07:21:53.000000,play_video,257.488637,,,,257.488637,
2014-10-07 07:21:54.000000,seek_video,,,,68.596462,,onSlideSeek
2014-10-07 07:21:54.000000,play_video,68.596462,,,,68.596462,
2014-10-07 07:21:54.000000,seek_video,,,,102.346776,,onSlideSeek
2014-10-07 07:21:55.000000,play_video,102.346776,,,,102.346776,
2014-10-07 07:21:55.000000,seek_video,,,,170.514201,,onSlideSeek
2014-10-07 07:21:55.000000,play_video,170.514201,,,,170.514201,
2014-10-07 07:22:05.000000,load_video,None,,,,None,
2014-10-07 07:22:06.000000,seek_video,,,,233.251579,,onSlideSeek
2014-10-07 07:22:08.000000,play_video,149,,,,149,
2014-10-07 07:23:20.000000,seek_video,,,,221.617426,,onSlideSeek
2014-10-07 07:23:21.000000,play_video,221.617426,,,,221.617426,
2014-10-07 07:46:58.000000,load_video,None,,,,None,
2014-10-07 07:47:02.000000,play_video,161,,,,161,
2014-10-21 01:54:44.000000,load_video,None,,,,None,
2014-10-21 01:54:48.000000,seek_video,,,,230,,onSlideSeek
2014-10-21 01:54:49.000000,play_video,14,,,,14,
2014-10-21 01:55:01.000000,seek_video,,,,31.846326,,onSlideSeek
2014-10-21 01:55:01.000000,play_video,31.846326,,,,31.846326,
2014-10-21 01:55:04.000000,seek_video,,,,107.00851,,onSlideSeek
2014-10-21 01:55:05.000000,play_video,107.00851,,,,107.00851,
2014-10-21 01:55:05.000000,seek_video,,,,152.573578,,onSlideSeek
2014-10-21 01:55:05.000000,play_video,152.573578,,,,152.573578,
2014-10-21 01:55:06.000000,seek_video,,,,168.788996,,onSlideSeek
2014-10-21 01:55:06.000000,play_video,168.788996,,,,168.788996,
2014-10-21 01:55:08.000000,seek_video,,,,189.993491,,onSlideSeek
2014-10-21 01:55:08.000000,play_video,189.993491,,,,189.993491,
2014-10-21 01:55:09.000000,seek_video,,,,217.542674,,onSlideSeek
2014-10-21 01:55:09.000000,play_video,217.542674,,,,217.542674,
