wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-09-23 17:17:36.000000,load_video,None,,,,None,
2014-09-24 07:10:49.000000,load_video,None,,,,None,
2014-09-24 07:11:19.000000,load_video,None,,,,None,
2014-09-25 20:07:38.000000,load_video,None,,,,None,
2014-09-30 00:47:25.000000,load_video,None,,,,None,
2014-09-30 00:47:29.000000,play_video,0,,,,0,
2014-09-30 00:48:54.000000,pause_video,84.409501,,,,84.409501,
2014-09-30 00:50:21.000000,play_video,84.409501,,,,84.409501,
2014-09-30 00:55:18.000000,pause_video,380.325896,,,,380.325896,
2014-09-30 00:55:18.000000,stop_video,380.325896,,,,380.325896,
2014-09-30 00:56:02.000000,play_video,380.325896,,,,380.325896,
2014-09-30 00:56:03.000000,seek_video,,,,1.217978,,onSlideSeek
2014-09-30 00:56:03.000000,play_video,1.217978,,,,1.217978,
2014-09-30 00:56:07.000000,seek_video,,,,312.499156,,onSlideSeek
2014-09-30 00:56:07.000000,play_video,312.499156,,,,312.499156,
2014-09-30 00:56:59.000000,pause_video,380.347049,,,,380.347049,
2014-09-30 00:57:00.000000,stop_video,380.347049,,,,380.347049,
2014-09-30 01:04:58.000000,load_video,None,,,,None,
2014-10-20 15:14:45.000000,load_video,None,,,,None,
