wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-10-06 07:03:21.000000,load_video,None,,,,None,
2014-10-06 07:03:24.000000,play_video,0,,,,0,
2014-10-06 07:09:42.000000,pause_video,376.626742,,,,376.626742,
2014-10-06 07:09:42.000000,stop_video,376.626742,,,,376.626742,
2014-10-21 00:59:07.000000,load_video,None,,,,None,
2014-10-21 00:59:12.000000,play_video,376,,,,376,
2014-10-21 00:59:13.000000,pause_video,376.996611,,,,376.996611,
2014-10-21 00:59:14.000000,stop_video,376.996611,,,,376.996611,
2014-10-21 00:59:17.000000,seek_video,,,,376.996611,,onSlideSeek
2014-10-21 00:59:17.000000,play_video,214,,,,214,
2014-10-21 00:59:18.000000,seek_video,,,,214.433201,,onSlideSeek
2014-10-21 00:59:18.000000,play_video,214.433201,,,,214.433201,
2014-10-21 01:01:35.000000,seek_video,,,,136.540886,,onSlideSeek
2014-10-21 01:01:35.000000,play_video,136.540886,,,,136.540886,
