wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-11-17 02:42:46.000000,load_video,None,,,,None,
2014-11-17 02:58:06.000000,play_video,0,,,,0,
2014-11-17 03:00:03.000000,pause_video,175.205213,,,,175.205213,
2014-11-17 03:00:17.000000,play_video,175.205213,,,,175.205213,
2014-11-17 03:00:18.000000,speed_change_video,None,1.25,1.50,,None,
2014-11-17 03:01:11.000000,pause_video,244.12316,,,,244.12316,
2014-11-17 03:09:22.000000,play_video,244.12316,,,,244.12316,
2014-11-17 03:09:22.000000,pause_video,249.344604,,,,249.344604,
2014-11-17 03:09:36.000000,play_video,249.344604,,,,249.344604,
2014-11-17 03:09:50.000000,speed_change_video,None,1.50,1.25,,None,
2014-11-17 03:20:10.000000,pause_video,1194.79248,,,,1194.79248,
2014-11-17 03:20:10.000000,stop_video,1194.79248,,,,1194.79248,
2014-11-26 22:18:42.000000,load_video,None,,,,None,
2014-12-08 07:41:53.000000,load_video,None,,,,None,
2014-12-08 07:47:34.000000,load_video,None,,,,None,
2014-12-08 22:52:04.000000,load_video,None,,,,None,
2014-12-09 10:08:19.000000,load_video,None,,,,None,
