wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-10-23 01:04:42.000000,load_video,None,,,,None,
2014-10-23 01:04:44.000000,play_video,0,,,,0,
2014-10-23 01:05:33.000000,seek_video,,,,73.290322,,onSlideSeek
2014-10-23 01:05:34.000000,play_video,73.290322,,,,73.290322,
2014-10-23 01:05:34.000000,seek_video,,,,78.510449,,onSlideSeek
2014-10-23 01:05:34.000000,play_video,78.510449,,,,78.510449,
2014-10-23 01:05:55.000000,seek_video,,,,119.045436,,onSlideSeek
2014-10-23 01:05:55.000000,play_video,119.045436,,,,119.045436,
2014-10-23 01:05:55.000000,seek_video,,,,127.800429,,onSlideSeek
2014-10-23 01:05:56.000000,play_video,127.800429,,,,127.800429,
2014-10-23 01:05:56.000000,seek_video,,,,137.74423,,onSlideSeek
2014-10-23 01:05:56.000000,play_video,137.74423,,,,137.74423,
2014-10-23 01:05:57.000000,seek_video,,,,153.620797,,onSlideSeek
2014-10-23 01:05:57.000000,play_video,153.620797,,,,153.620797,
2014-10-23 01:05:58.000000,seek_video,,,,163.328222,,onSlideSeek
2014-10-23 01:05:58.000000,play_video,163.328222,,,,163.328222,
2014-10-23 01:05:58.000000,seek_video,,,,182.517765,,onSlideSeek
2014-10-23 01:05:59.000000,play_video,182.517765,,,,182.517765,
2014-10-27 22:13:36.000000,load_video,None,,,,None,
2014-10-28 01:00:36.000000,load_video,None,,,,None,
2014-10-28 01:01:01.000000,play_video,209,,,,209,
2014-10-28 01:01:05.000000,pause_video,212.991354,,,,212.991354,
2014-10-28 01:01:05.000000,stop_video,212.991354,,,,212.991354,
2014-10-28 01:01:05.000000,seek_video,,,,212.991354,,onSlideSeek
2014-10-28 01:01:06.000000,play_video,3,,,,3,
2014-10-28 01:01:07.000000,pause_video,4.777525,,,,4.777525,
2014-10-28 01:01:12.000000,play_video,4.777525,,,,4.777525,
2014-10-28 01:03:31.000000,pause_video,212.807788,,,,212.807788,
2014-10-28 01:03:31.000000,stop_video,212.807788,,,,212.807788,
