wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-11-17 14:48:58.000000,load_video,None,,,,None,
2014-11-17 14:49:33.000000,play_video,0,,,,0,
2014-11-17 14:50:37.000000,load_video,None,,,,None,
2014-11-17 14:50:45.000000,load_video,None,,,,None,
2014-11-17 14:50:52.000000,play_video,34,,,,34,
2014-11-17 14:56:22.000000,pause_video,362.919275,,,,362.919275,
2014-11-17 14:56:24.000000,play_video,362.919275,,,,362.919275,
2014-11-17 14:56:27.000000,pause_video,366.263192,,,,366.263192,
2014-11-17 14:56:39.000000,seek_video,,,,366.263192,,onCaptionSeek
2014-11-17 14:56:41.000000,seek_video,,,,341.76,,onCaptionSeek
2014-11-17 14:56:42.000000,play_video,340.45,,,,340.45,
2014-11-17 14:56:49.000000,seek_video,,,,346.66738,,onCaptionSeek
2014-11-17 14:56:49.000000,play_video,346.66738,,,,346.66738,
2014-11-17 14:56:57.000000,seek_video,,,,300.626846,,onCaptionSeek
2014-11-17 14:56:57.000000,play_video,300.626846,,,,300.626846,
2014-11-17 14:57:04.000000,pause_video,323.274808,,,,323.274808,
2014-11-17 14:58:01.000000,play_video,323.274808,,,,323.274808,
2014-11-17 15:02:43.000000,seek_video,,,,605.777754,,onCaptionSeek
2014-11-17 15:02:44.000000,play_video,605.777754,,,,605.777754,
2014-11-17 15:03:13.000000,seek_video,,,,604.050716,,onCaptionSeek
2014-11-17 15:03:14.000000,play_video,604.050716,,,,604.050716,
2014-11-17 15:07:25.000000,pause_video,844.670585,,,,844.670585,
2014-11-17 15:07:26.000000,stop_video,844.670585,,,,844.670585,
2014-11-17 18:20:10.000000,load_video,None,,,,None,
2014-12-11 08:35:39.000000,load_video,None,,,,None,
2014-12-11 08:35:41.000000,play_video,0,,,,0,
2014-12-11 08:35:45.000000,seek_video,,,,4.489132,,onSlideSeek
2014-12-11 08:35:45.000000,play_video,4.872251,,,,4.872251,
2014-12-11 08:35:51.000000,seek_video,,,,332.355151,,onSlideSeek
2014-12-11 08:35:51.000000,play_video,332.355151,,,,332.355151,
