wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-11-17 19:27:58.000000,load_video,None,,,,None,
2014-11-17 19:30:17.000000,load_video,None,,,,None,
2014-11-17 19:30:18.000000,play_video,0,,,,0,
2014-11-17 19:34:18.000000,pause_video,298.775872,,,,298.775872,
2014-11-17 19:37:34.000000,play_video,298.775872,,,,298.775872,
2014-11-17 19:38:05.000000,speed_change_video,None,1.50,1.25,,None,
2014-11-17 19:39:27.000000,seek_video,,,,460.651499,,onSlideSeek
2014-11-17 19:39:28.000000,play_video,460.651499,,,,460.651499,
2014-11-17 19:39:30.000000,seek_video,,,,121.445438,,onSlideSeek
2014-11-17 19:39:31.000000,seek_video,,,,121.445438,,onSlideSeek
2014-11-17 19:39:31.000000,play_video,154,,,,154,
2014-11-17 19:39:32.000000,play_video,154,,,,154,
2014-11-17 19:39:32.000000,seek_video,,,,154,,onSlideSeek
2014-11-17 19:39:33.000000,seek_video,,,,193.058911,,onSlideSeek
2014-11-17 19:39:33.000000,play_video,193.058911,,,,193.058911,
2014-11-17 19:39:34.000000,seek_video,,,,120.296973,,onSlideSeek
2014-11-17 19:39:35.000000,play_video,120.296973,,,,120.296973,
2014-11-17 19:39:38.000000,seek_video,,,,76.654733,,onSlideSeek
2014-11-17 19:39:38.000000,play_video,76.654733,,,,76.654733,
2014-11-17 19:39:40.000000,seek_video,,,,100.653225,,onSlideSeek
2014-11-17 19:39:40.000000,play_video,100.653225,,,,100.653225,
2014-11-17 19:39:45.000000,seek_video,,,,182.317934,,onSlideSeek
2014-11-17 19:39:45.000000,play_video,182.317934,,,,182.317934,
2014-11-17 19:39:46.000000,seek_video,,,,317.82382,,onSlideSeek
2014-11-17 19:39:46.000000,play_video,317.82382,,,,317.82382,
2014-11-17 19:39:48.000000,seek_video,,,,468.116027,,onSlideSeek
2014-11-17 19:39:48.000000,play_video,468.116027,,,,468.116027,
2014-11-17 19:39:49.000000,seek_video,,,,513.357256,,onSlideSeek
2014-11-17 19:39:49.000000,play_video,513.357256,,,,513.357256,
2014-11-17 19:39:55.000000,seek_video,,,,572.189533,,onSlideSeek
2014-11-17 19:39:55.000000,play_video,572.189533,,,,572.189533,
2014-11-17 19:39:59.000000,seek_video,,,,688.491138,,onSlideSeek
2014-11-17 19:39:59.000000,play_video,688.491138,,,,688.491138,
2014-11-17 19:40:14.000000,seek_video,,,,781.432709,,onSlideSeek
2014-11-17 19:40:14.000000,play_video,781.432709,,,,781.432709,
2014-11-17 19:40:16.000000,seek_video,,,,705.364305,,onSlideSeek
2014-11-17 19:40:17.000000,play_video,705.364305,,,,705.364305,
2014-11-17 19:40:17.000000,seek_video,,,,651.124289,,onSlideSeek
2014-11-17 19:40:17.000000,play_video,651.124289,,,,651.124289,
2014-11-17 19:40:23.000000,seek_video,,,,596.836483,,onSlideSeek
2014-11-17 19:40:24.000000,play_video,596.836483,,,,596.836483,
2014-11-17 19:40:26.000000,seek_video,,,,612.608377,,onSlideSeek
2014-11-17 19:40:26.000000,play_video,612.608377,,,,612.608377,
2014-11-17 19:40:27.000000,seek_video,,,,673.338516,,onSlideSeek
2014-11-17 19:40:27.000000,play_video,673.338516,,,,673.338516,
2014-11-17 19:40:28.000000,seek_video,,,,733.153288,,onSlideSeek
2014-11-17 19:40:28.000000,play_video,733.153288,,,,733.153288,
2014-11-17 19:40:30.000000,seek_video,,,,789.909436,,onSlideSeek
2014-11-17 19:40:30.000000,play_video,789.909436,,,,789.909436,
2014-11-17 19:40:31.000000,seek_video,,,,837.677157,,onSlideSeek
2014-11-17 19:40:31.000000,play_video,837.677157,,,,837.677157,
2014-11-17 19:40:32.000000,seek_video,,,,900.828768,,onSlideSeek
2014-11-17 19:40:32.000000,play_video,900.828768,,,,900.828768,
2014-11-17 19:40:34.000000,seek_video,,,,972.581023,,onSlideSeek
2014-11-17 19:40:34.000000,play_video,972.581023,,,,972.581023,
2014-11-17 19:41:29.000000,seek_video,,,,1133.703223,,onSlideSeek
2014-11-17 19:41:30.000000,play_video,1133.703223,,,,1133.703223,
2014-11-17 19:41:31.000000,seek_video,,,,1383.206664,,onSlideSeek
