wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-11-26 16:56:57.000000,load_video,None,,,,None,
2014-11-26 16:57:07.000000,play_video,0,,,,0,
2014-11-26 16:57:25.000000,speed_change_video,None,1.0,2.0,,None,
2014-11-26 16:57:27.000000,speed_change_video,None,2.0,1.0,,None,
2014-11-26 16:57:30.000000,speed_change_video,None,1.50,2.0,,None,
2014-11-26 16:58:24.000000,seek_video,,,,104.625617981,,onSlideSeek
2014-11-26 16:58:58.000000,speed_change_video,None,2.0,1.50,,None,
2014-11-26 17:00:37.000000,seek_video,,,,104.625617981,,onCaptionSeek
2014-11-26 17:02:20.000000,pause_video,104.625617981,,,,104.625617981,
2014-11-26 17:02:20.000000,stop_video,104.625617981,,,,104.625617981,
2014-11-28 16:04:19.000000,load_video,None,,,,None,
2014-11-28 16:04:21.000000,play_video,104,,,,104,
2014-11-28 16:04:22.000000,play_video,104,,,,104,
2014-11-28 16:04:42.000000,seek_video,,,,123.539591,,onSlideSeek
2014-11-28 16:04:42.000000,play_video,123.539591,,,,123.539591,
2014-11-28 16:04:43.000000,seek_video,,,,135.534058,,onSlideSeek
2014-11-28 16:04:43.000000,play_video,135.534058,,,,135.534058,
2014-11-28 16:04:45.000000,seek_video,,,,151.671836,,onSlideSeek
2014-11-28 16:04:45.000000,play_video,151.671836,,,,151.671836,
2014-11-28 16:05:06.000000,seek_video,,,,179.874739,,onSlideSeek
2014-11-28 16:05:07.000000,play_video,179.874739,,,,179.874739,
2014-11-28 16:05:07.000000,seek_video,,,,193.522448,,onSlideSeek
2014-11-28 16:05:08.000000,play_video,193.522448,,,,193.522448,
2014-11-28 16:05:12.000000,seek_video,,,,214.142151,,onSlideSeek
2014-11-28 16:05:12.000000,play_video,214.142151,,,,214.142151,
2014-11-28 16:05:14.000000,seek_video,,,,226.404807,,onSlideSeek
2014-11-28 16:05:14.000000,play_video,226.404807,,,,226.404807,
2014-11-28 16:05:15.000000,seek_video,,,,237.208979,,onSlideSeek
2014-11-28 16:05:15.000000,play_video,237.208979,,,,237.208979,
2014-11-28 16:05:15.000000,seek_video,,,,247.197369,,onSlideSeek
2014-11-28 16:05:16.000000,play_video,247.197369,,,,247.197369,
2014-11-28 16:05:16.000000,seek_video,,,,254.476009,,onSlideSeek
2014-11-28 16:05:17.000000,play_video,254.476009,,,,254.476009,
2014-11-28 16:05:18.000000,seek_video,,,,262.137777,,onSlideSeek
2014-11-28 16:05:18.000000,play_video,262.137777,,,,262.137777,
2014-11-28 16:05:19.000000,seek_video,,,,275.522448,,onSlideSeek
2014-11-28 16:05:19.000000,play_video,275.522448,,,,275.522448,
2014-11-28 16:05:20.000000,seek_video,,,,284.522448,,onSlideSeek
2014-11-28 16:05:20.000000,play_video,284.522448,,,,284.522448,
2014-11-28 16:05:21.000000,seek_video,,,,294.534058,,onSlideSeek
2014-11-28 16:05:21.000000,play_video,294.534058,,,,294.534058,
2014-11-28 16:05:22.000000,seek_video,,,,310.056507,,onSlideSeek
2014-11-28 16:05:22.000000,play_video,310.056507,,,,310.056507,
2014-11-28 16:05:29.000000,seek_video,,,,310.466757,,onSlideSeek
2014-11-28 16:05:29.000000,play_video,310.466757,,,,310.466757,
2014-11-28 16:05:31.000000,seek_video,,,,319.474467,,onSlideSeek
2014-11-28 16:05:31.000000,play_video,319.474467,,,,319.474467,
2014-11-28 16:05:32.000000,seek_video,,,,335.476009,,onSlideSeek
2014-11-28 16:05:33.000000,play_video,335.476009,,,,335.476009,
2014-11-28 16:06:45.000000,seek_video,,,,415.738049,,onSlideSeek
2014-11-28 16:06:45.000000,play_video,415.738049,,,,415.738049,
2014-11-28 16:06:45.000000,seek_video,,,,429,,onSlideSeek
2014-11-28 16:06:45.000000,play_video,429,,,,429,
2014-11-28 16:06:46.000000,seek_video,,,,439.208979,,onSlideSeek
2014-11-28 16:06:46.000000,play_video,439.208979,,,,439.208979,
2014-11-28 16:06:47.000000,seek_video,,,,452.801088,,onSlideSeek
2014-11-28 16:06:47.000000,play_video,452.801088,,,,452.801088,
2014-11-28 16:06:49.000000,seek_video,,,,464.938866,,onSlideSeek
2014-11-28 16:06:50.000000,play_video,464.938866,,,,464.938866,
2014-11-28 16:06:50.000000,seek_video,,,,475.522448,,onSlideSeek
2014-11-28 16:06:50.000000,play_video,475.522448,,,,475.522448,
2014-11-28 16:06:51.000000,seek_video,,,,485,,onSlideSeek
2014-11-28 16:06:51.000000,play_video,485,,,,485,
