wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-11-10 18:21:54.000000,load_video,None,,,,None,
2014-11-10 18:32:38.000000,load_video,None,,,,None,
2014-11-10 18:32:39.000000,play_video,0,,,,0,
2014-11-10 18:32:40.000000,play_video,0,,,,0,
2014-11-10 18:32:42.000000,speed_change_video,None,1.0,2.0,,None,
2014-11-10 18:32:43.000000,play_video,2.194285,,,,2.194285,
2014-11-10 18:32:44.000000,speed_change_video,None,2.0,1.0,,None,
2014-11-10 18:33:51.000000,pause_video,137.21832,,,,137.21832,
2014-11-10 18:33:53.000000,seek_video,,,,137.21832,,onSlideSeek
2014-11-10 18:33:53.000000,pause_video,123,,,,123,
2014-11-10 18:34:00.000000,play_video,123,,,,123,
2014-11-26 17:15:29.000000,load_video,None,,,,None,
2014-11-26 17:15:44.000000,play_video,135,,,,135,
2014-11-26 17:15:46.000000,play_video,135,,,,135,
2014-11-26 17:15:54.000000,seek_video,,,,149.722976685,,onSlideSeek
2014-11-26 17:15:54.000000,play_video,149.722976685,,,,149.722976685,
2014-11-26 17:17:24.000000,load_video,None,,,,None,
2014-11-26 17:17:30.000000,seek_video,,,,135,,onSlideSeek
2014-11-26 17:17:30.000000,seek_video,,,,0,,onSlideSeek
2014-11-26 17:17:34.000000,play_video,0,,,,0,
2014-11-26 17:17:35.000000,play_video,0,,,,0,
2014-11-26 17:17:36.000000,play_video,0,,,,0,
2014-11-26 17:17:37.000000,play_video,0,,,,0,
2014-11-26 17:17:38.000000,play_video,0,,,,0,
2014-11-26 17:17:39.000000,play_video,0,,,,0,
2014-11-26 17:17:40.000000,play_video,0,,,,0,
2014-11-26 17:17:41.000000,play_video,0,,,,0,
2014-11-26 17:17:42.000000,play_video,0,,,,0,
2014-11-26 17:17:43.000000,play_video,0,,,,0,
2014-11-26 17:17:44.000000,play_video,0,,,,0,
2014-11-26 17:17:45.000000,play_video,0,,,,0,
2014-11-26 17:17:46.000000,play_video,0,,,,0,
2014-11-26 17:17:47.000000,play_video,0,,,,0,
2014-11-26 17:17:48.000000,play_video,0,,,,0,
2014-11-26 17:17:49.000000,play_video,0,,,,0,
2014-11-26 17:17:50.000000,play_video,0,,,,0,
2014-11-26 17:17:51.000000,play_video,0,,,,0,
2014-11-26 17:17:52.000000,play_video,0,,,,0,
2014-11-26 17:17:53.000000,play_video,0,,,,0,
2014-11-26 17:17:54.000000,play_video,0,,,,0,
2014-11-26 17:17:54.000000,seek_video,,,,0.495602160692,,onSlideSeek
2014-11-26 17:17:54.000000,play_video,0.495602160692,,,,0.495602160692,
2014-11-26 17:17:54.000000,seek_video,,,,54,,onSlideSeek
2014-11-26 17:17:54.000000,play_video,54,,,,54,
2014-11-26 17:17:55.000000,play_video,67,,,,67,
2014-11-26 17:17:55.000000,seek_video,,,,66.8578567505,,onSlideSeek
2014-11-26 17:17:55.000000,play_video,74,,,,74,
2014-11-26 17:17:56.000000,play_video,74,,,,74,
2014-11-26 17:17:57.000000,play_video,74,,,,74,
2014-11-26 17:17:58.000000,play_video,74,,,,74,
2014-11-26 17:17:59.000000,play_video,74,,,,74,
2014-11-26 17:18:00.000000,play_video,74,,,,74,
2014-11-26 17:18:01.000000,play_video,74,,,,74,
2014-11-26 17:18:01.000000,pause_video,74.4393615723,,,,74.4393615723,
