wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-10-08 17:16:16.000000,load_video,None,,,,None,
2014-10-19 21:51:04.000000,load_video,None,,,,None,
2014-10-19 21:51:06.000000,play_video,0,,,,0,
2014-10-19 21:51:07.000000,play_video,0,,,,0,
2014-10-19 21:52:53.000000,pause_video,106.138408,,,,106.138408,
2014-10-19 21:52:56.000000,play_video,106.138408,,,,106.138408,
2014-10-19 21:54:36.000000,seek_video,,,,206.2048,,onSlideSeek
2014-10-19 21:54:36.000000,play_video,206.2048,,,,206.2048,
2014-10-19 21:54:38.000000,seek_video,,,,266.335147,,onSlideSeek
2014-10-19 21:54:38.000000,play_video,266.335147,,,,266.335147,
2014-10-19 21:54:40.000000,seek_video,,,,252.335147,,onSlideSeek
2014-10-19 21:54:40.000000,play_video,252.335147,,,,252.335147,
2014-10-19 21:56:42.000000,seek_video,,,,348.869936,,onSlideSeek
2014-10-19 21:56:43.000000,play_video,348.869936,,,,348.869936,
2014-10-19 21:56:44.000000,seek_video,,,,392.532517,,onSlideSeek
2014-10-19 21:56:44.000000,play_video,392.532517,,,,392.532517,
2014-10-19 21:56:45.000000,seek_video,,,,393.207437,,onSlideSeek
2014-10-19 21:56:46.000000,play_video,393.207437,,,,393.207437,
2014-10-19 21:56:48.000000,seek_video,,,,463.136235,,onSlideSeek
2014-10-19 21:56:48.000000,play_video,463.136235,,,,463.136235,
2014-10-19 21:58:05.000000,seek_video,,,,520.8,,onSlideSeek
2014-10-19 21:58:06.000000,play_video,520.8,,,,520.8,
2014-10-19 21:58:53.000000,seek_video,,,,670.730156,,onSlideSeek
2014-10-19 21:58:53.000000,play_video,670.730156,,,,670.730156,
2014-10-19 21:58:55.000000,seek_video,,,,727.996916,,onSlideSeek
2014-10-19 21:58:55.000000,play_video,727.996916,,,,727.996916,
2014-10-19 22:01:03.000000,seek_video,,,,854.469328,,onSlideSeek
2014-10-19 22:01:03.000000,play_video,854.469328,,,,854.469328,
2014-10-19 22:01:04.000000,seek_video,,,,854.534058,,onSlideSeek
2014-10-19 22:01:04.000000,play_video,854.534058,,,,854.534058,
2014-10-19 22:01:07.000000,seek_video,,,,914.472925,,onSlideSeek
2014-10-19 22:01:07.000000,play_video,914.472925,,,,914.472925,
2014-10-19 22:06:08.000000,seek_video,,,,1208.001824,,onSlideSeek
2014-10-19 22:06:08.000000,play_video,1208.001824,,,,1208.001824,
2014-10-19 22:06:09.000000,seek_video,,,,1310.789478,,onSlideSeek
2014-10-19 22:06:09.000000,play_video,1310.789478,,,,1310.789478,
2014-10-19 22:06:10.000000,seek_video,,,,1383.476009,,onSlideSeek
2014-10-19 22:06:10.000000,play_video,1383.476009,,,,1383.476009,
2014-10-19 22:06:15.000000,seek_video,,,,1437.93424,,onSlideSeek
2014-10-19 22:06:15.000000,play_video,1437.93424,,,,1437.93424,
2014-10-19 22:06:22.000000,seek_video,,,,1512.536417,,onSlideSeek
2014-10-19 22:06:23.000000,play_video,1512.536417,,,,1512.536417,
2014-10-19 22:06:23.000000,seek_video,,,,1592.673378,,onSlideSeek
2014-10-19 22:06:24.000000,play_video,1592.673378,,,,1592.673378,
2014-10-19 22:06:25.000000,seek_video,,,,1666.207437,,onSlideSeek
2014-10-19 22:06:25.000000,play_video,1666.207437,,,,1666.207437,
2014-10-19 23:16:51.000000,load_video,None,,,,None,
2014-10-19 23:16:53.000000,seek_video,,,,1784,,onSlideSeek
2014-10-19 23:16:55.000000,play_video,358,,,,358,
2014-10-19 23:16:56.000000,play_video,358,,,,358,
2014-10-19 23:16:59.000000,seek_video,,,,360.728344,,onSlideSeek
2014-10-19 23:16:59.000000,play_video,360.728344,,,,360.728344,
2014-10-19 23:17:00.000000,seek_video,,,,514.801088,,onSlideSeek
2014-10-19 23:17:00.000000,play_video,514.801088,,,,514.801088,
2014-10-19 23:17:02.000000,pause_video,671.602176,,,,671.602176,
2014-10-19 23:18:02.000000,seek_video,,,,671.602176,,onSlideSeek
2014-10-19 23:18:02.000000,pause_video,776,,,,776,
2014-10-19 23:18:37.000000,seek_video,,,,776,,onSlideSeek
2014-10-19 23:18:37.000000,pause_video,876,,,,876,
2014-10-19 23:18:38.000000,seek_video,,,,876,,onSlideSeek
2014-10-19 23:18:38.000000,pause_video,975,,,,975,
2014-10-19 23:18:39.000000,seek_video,,,,975,,onSlideSeek
2014-10-19 23:18:39.000000,pause_video,1022,,,,1022,
2014-10-19 23:18:40.000000,seek_video,,,,1022,,onSlideSeek
2014-10-19 23:18:40.000000,pause_video,1075,,,,1075,
2014-10-19 23:18:41.000000,seek_video,,,,1075,,onSlideSeek
2014-10-19 23:18:42.000000,pause_video,1101,,,,1101,
2014-10-19 23:18:43.000000,seek_video,,,,1101,,onSlideSeek
2014-10-19 23:18:43.000000,pause_video,1065,,,,1065,
2014-10-19 23:19:26.000000,seek_video,,,,1065,,onSlideSeek
2014-10-19 23:19:26.000000,pause_video,779,,,,779,
2014-10-19 23:19:27.000000,seek_video,,,,779,,onSlideSeek
2014-10-19 23:19:28.000000,pause_video,703,,,,703,
2014-10-19 23:19:29.000000,seek_video,,,,703,,onSlideSeek
2014-10-19 23:19:29.000000,pause_video,1340,,,,1340,
2014-10-19 23:19:30.000000,seek_video,,,,1340,,onSlideSeek
2014-10-19 23:19:30.000000,pause_video,1456,,,,1456,
2014-10-19 23:20:21.000000,seek_video,,,,1456,,onSlideSeek
2014-10-19 23:20:21.000000,pause_video,1317,,,,1317,
2014-10-19 23:20:22.000000,seek_video,,,,1317,,onSlideSeek
2014-10-19 23:20:22.000000,pause_video,1439,,,,1439,
2014-10-19 23:20:25.000000,seek_video,,,,1439,,onSlideSeek
2014-10-19 23:20:25.000000,pause_video,1529,,,,1529,
2014-10-19 23:20:26.000000,seek_video,,,,1529,,onSlideSeek
2014-10-19 23:20:26.000000,pause_video,1632,,,,1632,
2014-10-19 23:24:42.000000,seek_video,,,,1632,,onSlideSeek
2014-10-19 23:24:43.000000,pause_video,1705,,,,1705,
