wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_current_time,video_seek_type
2014-11-26 17:54:17.000000,load_video,None,,,,None,
2014-11-26 17:54:21.000000,play_video,0,,,,0,
2014-11-26 17:54:47.000000,speed_change_video,None,1.50,2.0,,None,
2014-11-26 17:54:48.000000,speed_change_video,None,2.0,1.50,,None,
2014-11-26 17:55:38.000000,stop_video,125.264610291,,,,125.264610291,
2014-11-26 17:55:38.000000,pause_video,125.264610291,,,,125.264610291,
2014-11-27 12:33:49.000000,load_video,None,,,,None,
2014-11-27 12:33:51.000000,seek_video,,,,0,,onSlideSeek
2014-11-27 12:33:57.000000,play_video,104,,,,104,
2014-11-27 12:33:58.000000,play_video,104,,,,104,
2014-11-27 12:33:59.000000,play_video,104,,,,104,
2014-11-27 12:34:00.000000,play_video,104,,,,104,
