wall_time,event_type,video_current_time,video_new_speed,video_old_speed,video_old_time,video_current_time,video_seek_type
2014-11-12 16:19:27.000000,load_video,None,,,,None,
2014-11-12 16:19:29.000000,play_video,0,,,,0,
2014-11-12 16:20:42.000000,speed_change_video,None,1.50,1.0,,None,
2014-11-12 16:22:19.000000,seek_video,,,,217.145141,,onSlideSeek
2014-11-12 16:22:19.000000,play_video,217.145141,,,,217.145141,
2014-11-12 16:22:21.000000,seek_video,,,,361.289371,,onSlideSeek
2014-11-12 16:22:21.000000,play_video,361.289371,,,,361.289371,
2014-11-12 16:23:01.000000,seek_video,,,,669.828365,,onSlideSeek
2014-11-12 16:23:01.000000,play_video,669.828365,,,,669.828365,
2014-11-12 16:23:03.000000,seek_video,,,,685.852897,,onSlideSeek
2014-11-12 16:23:03.000000,play_video,685.852897,,,,685.852897,
2014-11-12 16:23:31.000000,seek_video,,,,744.847841,,onSlideSeek
2014-11-12 16:23:31.000000,play_video,744.847841,,,,744.847841,
2014-11-12 16:24:02.000000,seek_video,,,,870.156383,,onSlideSeek
2014-11-12 16:24:02.000000,play_video,870.156383,,,,870.156383,
2014-11-12 16:24:04.000000,seek_video,,,,899.030618,,onSlideSeek
2014-11-12 16:24:04.000000,play_video,899.030618,,,,899.030618,
2014-11-12 16:24:05.000000,seek_video,,,,918.887765,,onSlideSeek
2014-11-12 16:24:05.000000,play_video,918.887765,,,,918.887765,
